time,Ta_C,Tsp_base_C,Tsp_C,Ti_C,Phea_W,tariff_USD_per_kWh,error_C,integral_term,derivative_term,Kp,Ki,Kd,comfort_weight,energy_weight,response_weight
2026-04-02 15:00:00,25.51,38.0,38.0,25.51,13.114499999999998,0.12,12.489999999999998,0.20816666666666664,749.3999999999999,1.0,3.0,0.0,0.34,0.33,0.33
2026-04-02 15:01:00,25.51,38.0,38.0,26.050022556230697,13.171976315957767,0.12,11.949977443769303,0.40733295739615505,-32.401353373841744,1.0,3.0,0.0,0.34,0.33,0.33
2026-04-02 15:02:00,25.51,38.0,38.0,26.582185766808838,13.210703817039185,0.12,11.417814233191162,0.5976298612826745,-31.929792634688425,1.0,3.0,0.0,0.34,0.33,0.33
2026-04-02 15:03:00,25.51,38.0,38.0,27.105866429711018,13.231729832651455,0.12,10.894133570288982,0.7791987541208242,-31.420839774130798,1.0,3.0,0.0,0.34,0.33,0.33
2026-04-02 15:04:00,25.51,38.0,38.0,27.620496270535547,13.236075178300148,0.12,10.379503729464453,0.9521904829452317,-30.87779044947176,1.0,3.0,0.0,0.34,0.33,0.33
2026-04-02 15:05:00,25.51,38.0,38.0,28.125559810594954,13.224733647710995,0.12,9.874440189405046,1.1167644861019825,-30.303812403564407,1.0,3.0,0.0,0.34,0.33,0.33
2026-04-02 15:06:00,25.51,38.0,38.0,28.620592254465922,13.19867159111673,0.12,9.379407745534078,1.2730879485275506,-29.701946632258114,1.0,3.0,0.0,0.34,0.33,0.33
2026-04-02 15:07:00,25.51,38.0,38.0,29.10517740017633,13.158827575397504,0.12,8.89482259982367,1.421334991857945,-29.075108742624494,1.0,3.0,0.0,0.34,0.33,0.33
2026-04-02 15:08:00,25.51,38.0,38.0,29.57894557497122,13.106112121854057,0.12,8.421054425028782,1.5616858989417581,-28.42609048769326,1.0,3.0,0.0,0.34,0.33,0.33
2026-04-02 15:09:00,25.51,38.0,38.0,30.04157159937004,13.041407517486732,0.12,7.958428400629959,1.6943263722855908,-27.757561463929363,1.0,3.0,0.0,0.34,0.33,0.33
2026-04-02 15:10:00,25.51,38.0,38.0,30.492772782006284,12.965567695750174,0.12,7.507227217993716,1.8194468259188195,-27.072070958174592,1.0,3.0,0.0,0.5,0.25,0.25
2026-04-02 15:11:00,25.51,38.0,38.0,30.93230694752733,12.879418182852762,0.12,7.06769305247267,1.9372417101266972,-26.37204993126275,1.0,3.0,0.0,0.5,0.25,0.25
2026-04-02 15:12:00,25.51,38.0,38.0,31.359970499627533,12.783756105771182,0.12,6.640029500372467,2.0479088684662385,-25.659813126012168,1.0,3.0,0.0,0.5,0.25,0.25
2026-04-02 15:13:00,25.51,38.0,38.0,31.775596521090492,12.679350258253699,0.12,6.224403478909508,2.151648926448064,-24.93756128777754,1.0,3.0,0.0,0.5,0.25,0.25
2026-04-02 15:14:00,25.51,38.0,38.0,32.17905291252749,12.566941221190328,0.12,5.820947087472511,2.248664711239272,-24.20738348621981,1.0,3.0,0.0,0.5,0.25,0.25
2026-04-02 15:15:00,25.51,38.0,38.0,32.57024057131805,12.44724153383386,0.12,5.4297594286819475,2.3391607017173044,-23.47125952743383,1.0,3.0,0.0,0.5,0.25,0.25
2026-04-02 15:16:00,25.51,38.0,38.0,32.9490916120853,12.32093591246235,0.12,5.050908387914703,2.4233425081825493,-22.731062446034684,1.0,3.0,0.0,0.5,0.25,0.25
2026-04-02 15:17:00,25.51,38.0,38.0,33.31556762987297,12.188681513181026,0.12,4.684432370127027,2.5014163810179997,-21.988561067260548,1.0,3.0,0.0,0.5,0.25,0.25
2026-04-02 15:18:00,25.51,38.0,38.0,33.66965800703323,12.05110823566911,0.12,4.330341992966773,2.5735887475674457,-21.245422629615263,1.0,3.0,0.0,0.5,0.25,0.25
2026-04-02 15:19:00,25.51,38.0,38.0,34.01137826468334,11.908819064784833,0.12,3.988621735316663,2.64006577648939,-20.503215459006583,1.0,3.0,0.0,0.5,0.25,0.25
2026-04-02 15:20:00,25.51,38.0,38.0,34.340768459446345,11.762390447049508,0.12,3.6592315405536553,2.701052968831951,-19.763411685780454,1.0,3.0,0.0,0.75,0.15,0.1
2026-04-02 15:21:00,25.51,38.0,38.0,34.6578916260543,11.612372699138836,0.12,3.342108373945699,2.7567547750643793,-19.027389996477382,1.0,3.0,0.0,0.75,0.15,0.1
2026-04-02 15:22:00,25.51,38.0,38.0,34.96283226626367,11.459290445616286,0.12,3.0371677337363323,2.807374237293318,-18.296438412561997,1.0,3.0,0.0,0.75,0.15,0.1
2026-04-02 15:23:00,25.51,38.0,38.0,35.255694884409955,11.3036430832495,0.12,2.744305115590045,2.8531126558864854,-17.571757088777247,1.0,3.0,0.0,0.75,0.15,0.1
2026-04-02 15:24:00,25.51,38.0,38.0,35.536602569813105,11.145905269355694,0.12,2.4633974301868946,2.8941692797229335,-16.854461124189015,1.0,3.0,0.0,0.75,0.15,0.1
2026-04-02 15:25:00,25.51,38.0,38.0,35.80569562613577,10.98652743172624,0.12,2.1943043738642274,2.9307410192873373,-16.145583379360033,1.0,3.0,0.0,0.75,0.15,0.1
2026-04-02 15:26:00,25.51,38.0,38.0,36.06313024769414,10.825936297783166,0.12,1.93686975230586,2.9630221818257683,-15.446077293502043,1.0,3.0,0.0,0.75,0.15,0.1
2026-04-02 15:27:00,25.51,38.0,38.0,36.30907724262389,10.664535440722217,0.12,1.6909227573761072,2.9912042277820365,-14.756819695785168,1.0,3.0,0.0,0.75,0.15,0.1
2026-04-02 15:28:00,25.51,38.0,38.0,36.54372080271369,10.50270584049673,0.12,1.4562791972863067,3.0154755477368083,-14.078613605388028,1.0,3.0,0.0,0.75,0.15,0.1
2026-04-02 15:29:00,25.51,38.0,38.0,36.76725731963345,10.340806457595301,0.12,1.2327426803665489,3.0360212590762505,-13.41219101518547,1.0,3.0,0.0,0.75,0.15,0.1
