time,Ta_C,Tsp_base_C,Tsp_C,Ti_C,Phea_W,tariff_USD_per_kWh,error_C,integral_term,derivative_term,Kp,Ki,Kd,comfort_weight,energy_weight,response_weight
2026-04-02 06:00:00,20.78,39.0,39.0,20.78,14.25,0.12,18.22,0.0,1093.2,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:01:00,20.78,39.0,39.0,21.366779627609702,14.25,0.12,17.633220372390298,0.0,-35.20677765658206,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:02:00,20.78,39.0,39.0,21.942447767414077,14.25,0.12,17.057552232585923,0.0,-34.540088388262475,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:03:00,20.78,39.0,39.0,22.507214830878414,14.25,0.12,16.492785169121586,0.0,-33.886023807860255,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:04:00,20.78,39.0,39.0,23.06128724503446,14.25,0.12,15.93871275496554,0.0,-33.24434484936276,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:05:00,20.78,39.0,39.0,23.60486752793121,14.25,0.12,15.395132472068791,0.0,-32.61481697380489,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:06:00,20.78,39.0,39.0,24.138154362656916,14.25,0.12,14.861845637343084,0.0,-31.997210083542456,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:07:00,20.78,39.0,39.0,24.661342669959414,14.25,0.12,14.338657330040586,0.0,-31.391298438149846,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:08:00,20.78,39.0,39.0,25.174623679491262,14.25,0.12,13.825376320508738,0.0,-30.796860571910898,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:09:00,20.78,39.0,39.0,25.678184999705753,13.876890625306508,0.12,13.321815000294247,0.22203025000490412,-30.21367921286945,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:10:00,20.78,39.0,39.0,26.15684696853882,13.933360032784325,0.12,12.843153031461181,0.43608280052925713,-28.71971812998396,1.0,2.5,0.0,0.4,0.3,0.3
2026-04-02 06:11:00,20.78,39.0,39.0,26.62877007773412,13.976904837016766,0.12,12.37122992226588,0.6422699659003551,-28.31538655171812,1.0,2.5,0.0,0.4,0.3,0.3
2026-04-02 06:12:00,20.78,39.0,39.0,27.093549733885887,14.008227275286423,0.12,11.906450266114113,0.8407108036689237,-27.886779369105952,1.0,2.5,0.0,0.4,0.3,0.3
2026-04-02 06:13:00,20.78,39.0,39.0,27.550817921514984,14.028008340927535,0.12,11.449182078485016,1.0315305049770074,-27.43609125774583,1.0,2.5,0.0,0.4,0.3,0.3
2026-04-02 06:14:00,20.78,39.0,39.0,28.000241635641963,14.03690789198214,0.12,10.999758364358037,1.2148598110496414,-26.965422847618754,1.0,2.5,0.0,0.4,0.3,0.3
2026-04-02 06:15:00,20.78,39.0,39.0,28.441521348515728,14.035564789586886,0.12,10.558478651484272,1.3908344552410459,-26.476782772425906,1.0,2.5,0.0,0.4,0.3,0.3
2026-04-02 06:16:00,20.78,39.0,39.0,28.874389511075236,14.024597064065912,0.12,10.125610488924764,1.5595946300564587,-25.972089753570486,1.0,2.5,0.0,0.4,0.3,0.3
2026-04-02 06:17:00,20.78,39.0,39.0,29.2986090896274,14.00460210677927,0.12,9.701390910372599,1.7212844785626686,-25.45317471312991,1.0,2.5,0.0,0.4,0.3,0.3
2026-04-02 06:18:00,20.78,39.0,39.0,29.71397213813489,13.976156885849496,0.12,9.286027861865112,1.8760516095937538,-24.921782910449224,1.0,2.5,0.0,0.4,0.3,0.3
2026-04-02 06:19:00,20.78,39.0,39.0,30.12029840642269,13.939818183960748,0.12,8.879701593577309,2.0240466361533755,-24.379576097268156,1.0,2.5,0.0,0.4,0.3,0.3
2026-04-02 06:20:00,20.78,39.0,39.0,30.517433984532246,13.896122856495683,0.12,8.482566015467754,2.1654227364111716,-23.82813468657332,1.0,2.5,0.0,0.5,0.3,0.2
2026-04-02 06:21:00,20.78,39.0,39.0,30.90524998337601,13.845588108344586,0.12,8.09475001662399,2.300335236688238,-23.268959930625783,1.0,2.5,0.0,0.5,0.3,0.2
2026-04-02 06:22:00,20.78,39.0,39.0,31.283641251773982,13.788711787789364,0.12,7.716358748226018,2.428941215825338,-22.703476103878373,1.0,2.5,0.0,0.5,0.3,0.2
2026-04-02 06:23:00,20.78,39.0,39.0,31.652525129886367,13.725972695931713,0.12,7.347474870113633,2.551399130327232,-22.133032686743093,1.0,2.5,0.0,0.5,0.3,0.2
2026-04-02 06:24:00,20.78,39.0,39.0,32.011840238993166,13.657830910200198,0.12,6.988159761006834,2.667868459677346,-21.558906546407925,1.0,2.5,0.0,0.5,0.3,0.2
2026-04-02 06:25:00,20.78,39.0,39.0,32.36154530751224,13.584728120534784,0.12,6.6384546924877625,2.7785093712188087,-20.982304111144288,1.0,2.5,0.0,0.5,0.3,0.2
2026-04-02 06:26:00,20.78,39.0,39.0,32.701618033091535,13.507087976910007,0.12,6.298381966908465,2.8834824040006164,-20.404363534757834,1.0,2.5,0.0,0.5,0.3,0.2
2026-04-02 06:27:00,20.78,39.0,39.0,33.032053980559375,13.425316446918858,0.12,5.967946019440625,2.9829481709912935,-19.82615684807044,1.0,2.5,0.0,0.5,0.3,0.2
2026-04-02 06:28:00,20.78,39.0,39.0,33.35286551546798,13.339802182199087,0.12,5.6471344845320175,3.0770670790668273,-19.24869209451643,1.0,2.5,0.0,0.5,0.3,0.2
2026-04-02 06:29:00,20.78,39.0,39.0,33.664080772920364,13.250916892541689,0.12,5.335919227079636,3.1659990661848214,-18.672915447142913,1.0,2.5,0.0,0.5,0.3,0.2
2026-04-02 06:30:00,10.780000000000001,39.0,39.0,33.77637876247304,13.356269787885974,0.12,5.223621237526963,3.2530594201436043,-6.737879373160354,1.0,2.5,0.0,0.6,0.3,0.1
2026-04-02 06:31:00,10.780000000000001,39.0,39.0,33.8908884042278,13.45463979595505,0.12,5.109111595772198,3.338211280073141,-6.870578505285891,1.0,2.5,0.0,0.6,0.3,0.1
2026-04-02 06:32:00,10.780000000000001,39.0,39.0,34.00728027951171,13.54627790902482,0.12,4.992719720488289,3.4214232754146123,-6.983512517034569,1.0,2.5,0.0,0.6,0.3,0.1
2026-04-02 06:33:00,10.780000000000001,39.0,39.0,34.12524154289114,13.63143158135826,0.12,4.874758457108861,3.50266924969976,-7.077675802765668,1.0,2.5,0.0,0.6,0.3,0.1
2026-04-02 06:34:00,10.780000000000001,39.0,39.0,34.24447546264784,13.710344517324566,0.12,4.755524537352159,3.581927991988963,-7.154035185402137,1.0,2.5,0.0,0.6,0.3,0.1
2026-04-02 06:35:00,10.780000000000001,39.0,39.0,34.36470096123209,13.783256478688982,0.12,4.635299038767911,3.6591829759684282,-7.213529915054835,1.0,2.5,0.0,0.6,0.3,0.1
2026-04-02 06:36:00,10.780000000000001,39.0,39.0,34.48565215648255,13.850403110251747,0.12,4.514347843517449,3.734422106693719,-7.257071715027763,1.0,2.5,0.0,0.6,0.3,0.1
2026-04-02 06:37:00,10.780000000000001,39.0,39.0,34.60707790435411,13.912015783032103,0.12,4.392922095645893,3.807637474954484,-7.285544872293315,1.0,2.5,0.0,0.6,0.3,0.1
2026-04-02 06:38:00,10.780000000000001,39.0,39.0,34.728741343847446,13.968321454211786,0.12,4.271258656152554,3.878825119223693,-7.299806369600361,1.0,2.5,0.0,0.6,0.3,0.1
2026-04-02 06:39:00,10.780000000000001,39.0,39.0,34.850419444788855,14.019542543070841,0.12,4.149580555211145,3.9479847951438787,-7.300686056484551,1.0,2.5,0.0,0.6,0.3,0.1
2026-04-02 06:40:00,10.780000000000001,39.0,39.0,34.97190255906479,14.065896822167211,0.12,4.028097440935213,4.015119752492799,-7.288986856555937,1.0,2.5,0.0,0.7,0.2,0.1
2026-04-02 06:41:00,10.780000000000001,39.0,39.0,35.09299397587349,14.107597323030445,0.12,3.9070060241265097,4.080236519561574,-7.265485008522177,1.0,2.5,0.0,0.7,0.2,0.1
2026-04-02 06:42:00,10.780000000000001,39.0,39.0,35.213509481515224,14.144852255658911,0.12,3.7864905184847757,4.143344694869654,-7.230930338504038,1.0,2.5,0.0,0.7,0.2,0.1
2026-04-02 06:43:00,10.780000000000001,39.0,39.0,35.333276924203595,14.177864941128723,0.12,3.666723075796405,4.204456746132927,-7.186046561302248,1.0,2.5,0.0,0.7,0.2,0.1
2026-04-02 06:44:00,10.780000000000001,39.0,39.0,35.45213578434277,14.206833756641931,0.12,3.5478642156572278,4.263587816393882,-7.1315316083506275,1.0,2.5,0.0,0.7,0.2,0.1
2026-04-02 06:45:00,10.780000000000001,39.0,39.0,35.569936750679325,14.231952092360409,0.12,3.430063249320675,4.320755537215893,-7.068057980193174,1.0,2.5,0.0,0.7,0.2,0.1
2026-04-02 06:46:00,10.780000000000001,39.0,39.0,35.68654130270276,14.25,0.12,3.313458697297243,4.320755537215893,-6.99627312140592,1.0,2.5,0.0,0.7,0.2,0.1
2026-04-02 06:47:00,10.780000000000001,39.0,39.0,35.8016809535034,14.133471183140358,0.12,3.1983190464966,4.374060854657503,-6.908379048038569,1.0,2.5,0.0,0.7,0.2,0.1
2026-04-02 06:48:00,10.780000000000001,39.0,39.0,35.909841907563255,14.154066816265367,0.12,3.090158092436745,4.425563489531449,-6.489657243591296,1.0,2.5,0.0,0.7,0.2,0.1
2026-04-02 06:49:00,10.780000000000001,39.0,39.0,36.01680276067474,14.171405848125765,0.12,2.983197239325257,4.475283443520203,-6.417651186689284,1.0,2.5,0.0,0.7,0.2,0.1
2026-04-02 06:50:00,10.780000000000001,39.0,39.0,36.122452139661014,14.185654296653617,0.12,2.8775478603389857,4.523242574525852,-6.3389627391762815,1.0,2.5,0.0,0.8,0.15,0.05
2026-04-02 06:51:00,10.780000000000001,39.0,39.0,36.22668761655747,14.196973502400601,0.12,2.77331238344253,4.569464447583228,-6.254128613787344,1.0,2.5,0.0,0.8,0.15,0.05
2026-04-02 06:52:00,10.780000000000001,39.0,39.0,36.32941534661881,14.205520132896812,0.12,2.6705846533811908,4.613974191806248,-6.16366380368035,1.0,2.5,0.0,0.8,0.15,0.05
2026-04-02 06:53:00,10.780000000000001,39.0,39.0,36.430549713360406,14.211446194765198,0.12,2.5694502866395936,4.656798363250242,-6.068062004495829,1.0,2.5,0.0,0.8,0.15,0.05
2026-04-02 06:54:00,10.780000000000001,39.0,39.0,36.530012980820196,14.214899053104567,0.12,2.469987019179804,4.6979648135699055,-5.96779604758737,1.0,2.5,0.0,0.8,0.15,0.05
2026-04-02 06:55:00,10.780000000000001,39.0,39.0,36.62773495320355,14.216021457671065,0.12,2.37226504679645,4.737502564349846,-5.863318343001254,1.0,2.5,0.0,0.8,0.15,0.05
2026-04-02 06:56:00,10.780000000000001,39.0,39.0,36.7236526420514,14.214951575404408,0.12,2.2763473579486018,4.775441686982322,-5.755061330870888,1.0,2.5,0.0,0.8,0.15,0.05
2026-04-02 06:57:00,10.780000000000001,39.0,39.0,36.8177099410503,14.211823028861739,0.12,2.1822900589496967,4.811813187964817,-5.6434379399343015,1.0,2.5,0.0,0.8,0.15,0.05
2026-04-02 06:58:00,10.780000000000001,39.0,39.0,36.909857308583064,14.206764940138017,0.12,2.0901426914169363,4.846648899488432,-5.528842051965626,1.0,2.5,0.0,0.8,0.15,0.05
2026-04-02 06:59:00,10.780000000000001,39.0,39.0,37.00005145809921,14.19990197986774,0.12,1.9999485419007925,4.879981375186778,-5.411648970968628,1.0,2.5,0.0,0.8,0.15,0.05
2026-04-02 07:00:00,11.32,39.0,39.0,37.09848070690474,14.180702701607844,0.12,1.9015192930952622,4.911673363405033,-5.905754928331817,1.0,2.5,0.0,0.8571428571428571,0.09523809523809523,0.047619047619047616
2026-04-02 07:01:00,11.32,39.0,39.0,37.19425548245785,14.160167280952322,0.12,1.805744517542152,4.941769105364068,-5.746486533186612,1.0,2.5,0.0,0.8571428571428571,0.09523809523809523,0.047619047619047616
2026-04-02 07:02:00,11.32,39.0,39.0,37.28737103187181,14.13841127187704,0.12,1.7126289681281932,4.970312921499539,-5.58693296483753,1.0,2.5,0.0,0.8571428571428571,0.09523809523809523,0.047619047619047616
2026-04-02 07:03:00,11.32,39.0,39.0,37.37782745048829,14.115545376156877,0.12,1.6221725495117099,4.997349130658067,-5.427385116989001,1.0,2.5,0.0,0.8571428571428571,0.09523809523809523,0.047619047619047616
2026-04-02 07:04:00,11.32,39.0,39.0,37.465629390267836,14.091675545116173,0.12,1.5343706097321643,5.022921974153603,-5.268116386772732,1.0,2.5,0.0,0.8571428571428571,0.09523809523809523,0.047619047619047616
2026-04-02 07:05:00,11.32,39.0,39.0,37.55078577789218,14.066903083412987,0.12,1.4492142221078197,5.047075544522067,-5.109383257460678,1.0,2.5,0.0,0.8571428571428571,0.09523809523809523,0.047619047619047616
2026-04-02 07:06:00,11.32,39.0,39.0,37.63330954247831,14.04132475455693,0.12,1.3666904575216918,5.0698537188140955,-4.951425875167672,1.0,2.5,0.0,0.8571428571428571,0.09523809523809523,0.047619047619047616
2026-04-02 07:07:00,11.32,39.0,39.0,37.71321735279351,14.015032887875337,0.12,1.2867826472064934,5.091300096267537,-4.794468618911907,1.0,2.5,0.0,0.8571428571428571,0.09523809523809523,0.047619047619047616
2026-04-02 07:08:00,11.32,39.0,39.0,37.79052936385132,13.988115486657051,0.12,1.20947063614868,5.111457940203349,-4.638720663468803,1.0,2.5,0.0,0.8571428571428571,0.09523809523809523,0.047619047619047616
2026-04-02 07:09:00,11.32,39.0,39.0,37.865268972759075,13.960656337217669,0.12,1.1347310272409246,5.130370123990698,-4.484376534465326,1.0,2.5,0.0,0.8571428571428571,0.09523809523809523,0.047619047619047616
2026-04-02 07:10:00,11.32,39.0,39.0,37.937462583679846,13.932735118643572,0.12,1.0625374163201542,5.148079080929367,-4.331616655246222,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:11:00,11.32,39.0,39.0,38.00713938176418,13.904427512985727,0.12,0.9928606182358166,5.164626757899964,-4.180607885060255,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:12:00,11.32,39.0,39.0,38.074331115900236,13.875805315687163,0.12,0.925668884099764,5.18005457263496,-4.031504048163157,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:13:00,11.32,39.0,39.0,38.13907189012495,13.846936546040576,0.12,0.8609281098750472,5.194403374466211,-3.884446453483008,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:14:00,11.32,39.0,39.0,38.20139796353357,13.817885557484724,0.12,0.798602036466427,5.207713408407319,-3.7395644045172105,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:15:00,11.32,39.0,39.0,38.261347558519844,13.788713147560124,0.12,0.7386524414801556,5.220024282431988,-3.5969756991762836,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:16:00,11.32,39.0,39.0,38.31896067717516,13.759476667355841,0.12,0.6810393228248373,5.231374937812402,-3.4567871193191024,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:17:00,11.32,39.0,39.0,38.37427892567121,13.730230130290158,0.12,0.6257210743287871,5.241803622384548,-3.3190949097630096,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:18:00,11.32,39.0,39.0,38.42734534644748,13.701024320078577,0.12,0.5726546535525188,5.251347866610423,-3.1839852465761,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:19:00,11.32,39.0,39.0,38.47820425802238,13.671906897752745,0.12,0.5217957419776198,5.26004446231005,-3.051534694493938,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:20:00,11.32,39.0,39.0,38.52690110224455,13.64292250760372,0.12,0.4730988977554489,5.267929443939308,-2.9218106533302546,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:21:00,11.32,39.0,39.0,38.57348229879918,13.61411288193246,0.12,0.42651770120082233,5.275038072292655,-2.7948717932775935,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:22:00,11.32,39.0,39.0,38.617995106782715,13.585516944499643,0.12,0.38200489321728526,5.281404820512943,-2.6707684790122244,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:23:00,11.32,39.0,39.0,38.66048749315882,13.557170912575256,0.12,0.3395125068411815,5.28706336229363,-2.549543182566225,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:24:00,11.32,39.0,39.0,38.70100800790728,13.529108397497328,0.12,0.29899199209272354,5.2920465621618415,-2.431230884907478,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:25:00,11.32,39.0,39.0,38.73960566567801,13.501360503656674,0.12,0.2603943343219868,5.296386467733875,-2.3158594662442056,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:26:00,11.32,39.0,39.0,38.77632983376202,13.473955925832582,0.12,0.22367016623798008,5.300114303837841,-2.2034500850404015,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:27:00,11.32,39.0,39.0,38.81123012619181,13.250285759594602,0.12,0.0,5.300114303837841,-13.420209974278805,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:28:00,11.32,39.0,39.0,38.836259350841765,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:29:00,11.32,39.0,39.0,38.86081461233521,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:30:00,11.32,39.0,39.0,38.88490488582328,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:31:00,11.32,39.0,39.0,38.90853897650013,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:32:00,11.32,39.0,39.0,38.93172552282133,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:33:00,11.32,39.0,39.0,38.95447299966129,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:34:00,11.32,39.0,39.0,38.976789721410896,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:35:00,11.32,39.0,39.0,38.99868384501649,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:36:00,11.32,39.0,39.0,39.02016337296128,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:37:00,11.32,39.0,39.0,39.04123615619035,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:38:00,11.32,39.0,39.0,39.061909896980225,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:39:00,11.32,39.0,39.0,39.08219215175411,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:40:00,11.32,39.0,39.0,39.102090333843826,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:41:00,11.32,39.0,39.0,39.12161171619948,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:42:00,11.32,39.0,39.0,39.14076343404775,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:43:00,11.32,39.0,39.0,39.15955248749986,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:44:00,11.32,39.0,39.0,39.17798574411022,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:45:00,11.32,39.0,39.0,39.19606994138654,13.250285759594602,0.12,0.0,5.300114303837841,0.0,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:46:00,11.32,39.0,39.0,39.21381168925247,13.02756524995661,0.12,-0.2138116892524735,5.296550775683633,-12.82870135514841,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:47:00,11.32,39.0,39.0,39.22204639472979,13.010078611365554,0.12,-0.22204639472978727,5.292850002438136,-0.4940823286388252,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:48:00,11.32,39.0,39.0,39.22940510824302,12.993161351675527,0.12,-0.22940510824302152,5.289026583967419,-0.441522810794055,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:49:00,11.32,39.0,39.0,39.23592786352733,12.976808268744247,0.12,-0.23592786352732986,5.285094452908631,-0.39136531705850075,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:50:00,11.32,39.0,39.0,39.24165372201215,12.961013505175584,0.12,-0.24165372201215263,5.281066890875095,-0.34355150908936594,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:51:00,11.32,39.0,39.0,39.24662076425144,12.945770597759154,0.12,-0.24662076425143908,5.2769565448042375,-0.2980225343571874,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:52:00,11.32,39.0,39.0,39.250866083551955,12.931072524977306,0.12,-0.25086608355195494,5.272775443411705,-0.2547191580309516,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:53:00,11.32,39.0,39.0,39.25442578167848,12.916911752614181,0.12,-0.25442578167847785,5.268535013717064,-0.2135818875913742,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:54:00,11.32,39.0,39.0,39.25733496651839,12.903280277502668,0.12,-0.2573349665183926,5.264246097608424,-0.17455109039488548,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:55:00,11.32,39.0,39.0,39.25962775159188,12.890169669446188,0.12,-0.25962775159187856,5.259918968415226,-0.13756710440915754,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:56:00,11.32,39.0,39.0,39.26133725729763,12.877571111353031,0.12,-0.26133725729763313,5.255563347460265,-0.10257034234527396,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:57:00,11.32,39.0,39.0,39.262495613787614,12.8654754376219,0.12,-0.262495613787614,5.251188420563805,-0.06950138939885164,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:58:00,11.32,39.0,39.0,39.26313396536799,12.853873170817854,0.12,-0.2631339653679916,5.246802854474338,-0.03830109482265698,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 07:59:00,11.32,39.0,39.0,39.263282476326964,12.842754556678592,0.12,-0.2632824763269639,5.242414813202222,-0.008910657538336864,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 08:00:00,11.879999999999999,39.0,39.0,39.27357471642961,12.821063370058049,0.12,-0.2735747164296072,5.237855234595062,-0.6175344061585974,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 08:01:00,11.879999999999999,39.0,39.0,39.282778869439284,12.800076764155069,0.12,-0.28277886943928365,5.233142253437741,-0.5522491805805885,1.0,2.5,0.0,0.9,0.05,0.05
2026-04-02 08:02:00,11.879999999999999,39.0,39.0,39.290944552682404,12.779788391216847,0.12,-0.2909445526824044,5.228293177559701,-0.4899409945872435,1.0,2.5,0.0,0.9,0.05,0.05
