time,Ta_C,Tsp_C,Ti_C,Phea_W,tariff_USD_per_kWh,error_C,integral_term,derivative_term,Kp,Ki,Kd
2026-04-02 00:00:00,20.43,39.0,20.43,14.25,0.12,18.57,0.0,1114.2,1.0,2.5,0.0
2026-04-02 00:01:00,20.43,39.0,21.0167796276097,14.25,0.12,17.9832203723903,0.0,-35.20677765658206,1.0,2.5,0.0
2026-04-02 00:02:00,20.43,39.0,21.59244776741407,14.25,0.12,17.40755223258593,0.0,-34.54008838826205,1.0,2.5,0.0
2026-04-02 00:03:00,20.43,39.0,22.157214830878406,14.25,0.12,16.842785169121594,0.0,-33.886023807860255,1.0,2.5,0.0
2026-04-02 00:04:00,20.43,39.0,22.711287245034452,14.25,0.12,16.288712754965548,0.0,-33.24434484936276,1.0,2.5,0.0
2026-04-02 00:05:00,20.43,39.0,23.2548675279312,14.25,0.12,15.7451324720688,0.0,-32.61481697380489,1.1,2.5,0.0
2026-04-02 00:06:00,20.43,39.0,23.788154362656908,14.25,0.12,15.211845637343092,0.0,-31.997210083542456,1.1,2.5,0.0
2026-04-02 00:07:00,20.43,39.0,24.311342669959405,14.25,0.12,14.688657330040595,0.0,-31.391298438149846,1.1,2.5,0.0
2026-04-02 00:08:00,20.43,39.0,24.824623679491253,14.25,0.12,14.175376320508747,0.0,-30.796860571910898,1.1,2.5,0.0
2026-04-02 00:09:00,20.43,39.0,25.328184999705748,14.25,0.12,13.671815000294252,0.0,-30.213679212869664,1.1,2.5,0.0
2026-04-02 00:10:00,20.43,39.0,25.822210686429365,14.25,0.12,13.177789313570635,0.0,-29.641541203417034,1.1,2.5,0.0
2026-04-02 00:11:00,20.43,39.0,26.306881310135697,14.25,0.12,12.693118689864303,0.0,-29.080237422379938,1.1,2.5,0.0
2026-04-02 00:12:00,20.43,39.0,26.782374021945444,13.948456324945619,0.12,12.217625978054556,0.2036270996342426,-28.529562708584777,1.1,2.5,0.0
2026-04-02 00:13:00,20.43,39.0,27.236445798351596,13.939125462634202,0.12,11.763554201648404,0.3996863363283827,-27.244306584369156,1.1,2.5,0.0
2026-04-02 00:14:00,20.43,39.0,27.681534872815455,13.921130194356646,0.12,11.318465127184545,0.5883274217814585,-26.70534446783151,1.1,2.5,0.0
2026-04-02 00:15:00,20.43,39.0,28.117454566552954,13.895057924305691,0.12,10.882545433447046,0.7697031790055759,-26.155181624249977,1.1,2.5,0.0
2026-04-02 00:16:00,20.43,39.0,28.544045923648834,13.86147218468152,0.12,10.455954076351166,0.9439690802780953,-25.59548142575281,1.1,2.5,0.0
