time,Ti,To,P,u,dt,sim_hour,Ti_next,dTi,weather_effect,residual_effect,P_mode,P_signed
300,20.003360202532292,20.0,0.37832335237107323,0.3745401188473625,300.0,0.0,20.01305743771752,0.009697235185228692,0.0004146922273154302,0.009282542957913262,heating,0.37832335237107323
600,20.01305743771752,20.21816000000001,0.37832335237107323,0.3745401188473625,300.0,0.08333333333333333,20.028909471753934,0.015852034036413443,0.0068713981881069666,0.008980635848306476,heating,0.37832335237107323
900,20.028909471753934,20.436180000000036,0.37832335237107323,0.3745401188473625,300.0,0.16666666666666666,20.05072670827832,0.021817236524384498,0.01313313568390448,0.008684100840480017,heating,0.37832335237107323
1200,20.05072670827832,20.654020000000003,0.37832335237107323,0.3745401188473625,300.0,0.25,20.078322111169427,0.027595402891108733,0.01920453815478771,0.008390864736321023,heating,0.37832335237107323
1500,20.078322111169427,20.871550000000013,0.37832335237107323,0.3745401188473625,300.0,0.3333333333333333,20.111511115032556,0.03318900386312862,0.02508737217746407,0.008101631685664547,heating,0.37832335237107323
1800,20.111511115032556,21.08868000000001,0.37832335237107323,0.3745401188473625,300.0,0.4166666666666667,20.150111558788183,0.03860044375562666,0.030784566720796887,0.00781587703482977,heating,0.37832335237107323
2100,20.150111558788183,21.305260000000033,0.37832335237107323,0.3745401188473625,300.0,0.5,20.193943622630286,0.04383206384210325,0.03629711790816714,0.00753494593393611,heating,0.37832335237107323
2400,20.193943622630286,21.521230000000003,0.37832335237107323,0.3745401188473625,300.0,0.5833333333333334,20.242829768297042,0.04888614566675642,0.04162873691195594,0.007257408754800479,heating,0.37832335237107323
2700,20.242829768297042,21.736469999999997,0.37832335237107323,0.3745401188473625,300.0,0.6666666666666666,20.29659468255005,0.053764914253008556,0.0467812058616429,0.006983708391365653,heating,0.37832335237107323
3000,20.29659468255005,21.950900000000047,0.37832335237107323,0.3745401188473625,300.0,0.75,20.355065223762153,0.05847054121210249,0.051757476889016524,0.0067130643230859655,heating,0.37832335237107323
3300,20.355065223762153,22.1644,0.37832335237107323,0.3745401188473625,300.0,0.8333333333333334,20.418070371515967,0.06300514775381316,0.056559195946821225,0.006445951806991937,heating,0.37832335237107323
3600,20.418070371515967,22.376860000000022,0.37832335237107323,0.3745401188473625,300.0,0.9166666666666666,20.485642710248783,0.0675723387328162,0.06118825301715554,0.006384085715660667,heating,0.37832335237107323
3900,20.485642710248783,22.58820000000003,0.9603174812221376,0.9507143064099162,300.0,1.0,20.557376047611,0.07173333736221821,0.0656411610283185,0.006092176333899704,heating,0.9603174812221376
4200,20.557376047611,22.79830000000004,0.9603174812221376,0.9507143064099162,300.0,1.0833333333333333,20.633138361888143,0.0757623142771422,0.06992678420050487,0.005835530076637327,heating,0.9603174812221376
4500,20.633138361888143,23.007040000000018,0.9603174812221376,0.9507143064099162,300.0,1.1666666666666667,20.71276681372518,0.07962845183703848,0.074045494881627,0.005582956955411486,heating,0.9603174812221376
4800,20.71276681372518,23.214380000000006,0.9603174812221376,0.9507143064099162,300.0,1.25,20.79610047009487,0.08333365636968892,0.07800109776839804,0.005332558601290879,heating,0.9603174812221376
5100,20.79610047009487,23.420200000000023,0.9603174812221376,0.9507143064099162,300.0,1.3333333333333333,20.88298027071403,0.08687980061915823,0.08179486067726174,0.005084939941896488,heating,0.9603174812221376
5400,20.88298027071403,23.62438000000003,0.9603174812221376,0.9507143064099162,300.0,1.4166666666666667,20.973248996280688,0.09026872556665921,0.08542799342025921,0.004840732146400004,heating,0.9603174812221376
5700,20.973248996280688,23.826840000000004,0.9603174812221376,0.9507143064099162,300.0,1.5,21.066751239011694,0.09350224273100594,0.08890288770666085,0.004599355024345081,heating,0.9603174812221376
6000,21.066751239011694,24.02746000000002,0.9603174812221376,0.9507143064099162,300.0,1.5833333333333333,21.163333375399134,0.09658213638743973,0.09222064021982519,0.00436149616761454,heating,0.9603174812221376
6300,21.163333375399134,24.226200000000006,0.9603174812221376,0.9507143064099162,300.0,1.6666666666666667,21.26284354111027,0.09951016571113769,0.0953847702145267,0.004125395496610992,heating,0.9603174812221376
6600,21.26284354111027,24.42288000000002,0.9603174812221376,0.9507143064099162,300.0,1.75,21.36513160795147,0.10228806684119718,0.09839440624626385,0.003893660594933332,heating,0.9603174812221376
6900,21.36513160795147,24.617500000000007,0.9603174812221376,0.9507143064099162,300.0,1.8333333333333333,21.470049162824296,0.10491755487282717,0.10125419822747181,0.003663356645355359,heating,0.9603174812221376
7200,21.470049162824296,24.809900000000027,0.9603174812221376,0.9507143064099162,300.0,1.9166666666666667,21.57740296338926,0.10735380056496524,0.10396378727767572,0.0033900132872895228,heating,0.9603174812221376
7500,21.57740296338926,25.0,0.7393878200115204,0.7319939418114051,300.0,2.0,21.687077755131554,0.10967479174229311,0.10652668084574074,0.0031481108965523696,heating,0.7393878200115204
7800,21.687077755131554,25.18774000000002,0.7393878200115204,0.7319939418114051,300.0,2.0833333333333335,21.79894877356719,0.11187101843563596,0.10894459032677412,0.002926428108861845,heating,0.7393878200115204
8100,21.79894877356719,25.373000000000047,0.7393878200115204,0.7319939418114051,300.0,2.1666666666666665,21.9128742378702,0.11392546430300854,0.11121766329087991,0.0027078010121286272,heating,0.7393878200115204
8400,21.9128742378702,25.5557,0.7393878200115204,0.7319939418114051,300.0,2.25,22.028714005749407,0.11583976787920847,0.11334781327224316,0.002491954606965302,heating,0.7393878200115204
8700,22.028714005749407,25.735770000000002,0.7393878200115204,0.7319939418114051,300.0,2.3333333333333335,22.1463295631346,0.11761555738519291,0.11533721278426542,0.00227834460092749,heating,0.7393878200115204
9000,22.1463295631346,25.913100000000043,0.7393878200115204,0.7319939418114051,300.0,2.4166666666666665,22.265584015052923,0.11925445191832296,0.11718674499170398,0.0020677069266189785,heating,0.7393878200115204
9300,22.265584015052923,26.08760000000001,0.7393878200115204,0.7319939418114051,300.0,2.5,22.386342077952634,0.1207580628997107,0.1188978623700179,0.001860200529692796,heating,0.7393878200115204
9600,22.386342077952634,26.259240000000034,0.7393878200115204,0.7319939418114051,300.0,2.5833333333333335,22.508470073412752,0.12212799546011865,0.1204738258609757,0.0016541695991429545,heating,0.7393878200115204
9900,22.508470073412752,26.427880000000016,0.7393878200115204,0.7319939418114051,300.0,2.6666666666666665,22.63183592317762,0.1233658497648662,0.1219144396666485,0.001451410098217698,heating,0.7393878200115204
10200,22.63183592317762,26.593470000000025,0.7393878200115204,0.7319939418114051,300.0,2.75,22.756309145456555,0.12447322227893665,0.12322224599242006,0.001250976286516589,heating,0.7393878200115204
10500,22.756309145456555,26.755899999999997,0.7393878200115204,0.7319939418114051,300.0,2.8333333333333335,22.881760852430887,0.1254517069743315,0.12439787921968536,0.0010538277546461444,heating,0.7393878200115204
10800,22.881760852430887,26.91512,0.7393878200115204,0.7319939418114051,300.0,2.9166666666666665,23.008030556393123,0.1262697039622367,0.12544378273659562,0.0008259212256410686,heating,0.7393878200115204
11100,23.008030556393123,27.07107000000002,0.6047055395929664,0.5986584841970366,300.0,3.0,23.135020513974325,0.1269899575812019,0.12636306894348956,0.0006268886377123473,heating,0.6047055395929664
11400,23.135020513974325,27.223630000000014,0.6047055395929664,0.5986584841970366,300.0,3.0833333333333335,23.262612984173188,0.12759247019886288,0.12715504848693365,0.0004374217119292312,heating,0.6047055395929664
