time,decision_mode,window_start,window_end,current_ti_C,current_tsp_C,mean_abs_error_C,mean_error_C,max_abs_error_C,power_mean_W,power_std_W,energy_kWh,error_sign_changes,Ta_now_C,Ta_future_C,Ta_mean_future_C,Ta_delta_next_1h_C,next_habit_label,next_habit_type,minutes_to_next_habit,kp_before,ki_before,kd_before,action,reason,kp_after,ki_after,kd_after
2026-04-02 00:05:00,reactive,2026-04-02 00:00:00,2026-04-02 00:04:00,22.31128724503445,39.0,17.818454105812673,17.818454105812673,18.97,14.25,0.0,0.0011875,0,20.03,20.0,20.02704918032787,-0.030000000000001137,none,none,-1,1.0,3.0,0.0,increase_kp_ki_for_underheating,no proactive trigger; fallback to reactive rule,1.1,3.2,0.0
2026-04-02 00:10:00,reactive,2026-04-02 00:05:00,2026-04-02 00:09:00,24.928184999705728,39.0,15.098565352051105,15.098565352051105,16.145132472068802,14.25,0.0,0.0011875,0,20.03,20.0,20.024590163934427,-0.030000000000001137,none,none,-1,1.1,3.2,0.0,increase_kp_ki_for_underheating,no proactive trigger; fallback to reactive rule,1.2100000000000002,3.4000000000000004,0.0
2026-04-02 00:15:00,reactive,2026-04-02 00:10:00,2026-04-02 00:14:00,27.306517604868564,39.0,12.626630751648884,12.626630751648884,13.577789313570655,14.25,0.0,0.0011875,0,20.03,20.0,20.022131147540986,-0.030000000000001137,none,none,-1,1.2100000000000002,3.4000000000000004,0.0,increase_kp_ki_for_underheating,no proactive trigger; fallback to reactive rule,1.3310000000000004,3.6000000000000005,0.0
2026-04-02 00:20:00,reactive,2026-04-02 00:15:00,2026-04-02 00:19:00,29.451048930977045,39.0,10.383442880149051,10.383442880149051,11.24449374189675,14.093398816852533,0.19225440713428335,0.0011744499014043775,0,20.03,20.0,20.01967213114754,-0.030000000000001137,none,none,-1,1.3310000000000004,3.6000000000000005,0.0,increase_kp_ki_for_underheating,no proactive trigger; fallback to reactive rule,1.4641000000000006,3.8000000000000007,0.0
2026-04-02 00:25:00,reactive,2026-04-02 00:20:00,2026-04-02 00:24:00,31.381230970653938,39.0,8.375346317643361,8.375346317643361,9.155829810804985,14.075153840034625,0.14618077150087802,0.0011729294866695522,0,20.03,20.0,20.017213114754096,-0.030000000000001137,none,none,-1,1.4641000000000006,3.8000000000000007,0.0,increase_kp_ki_for_underheating,no proactive trigger; fallback to reactive rule,1.6105100000000008,4.000000000000001,0.0
2026-04-02 00:30:00,reactive,2026-04-02 00:25:00,2026-04-02 00:29:00,33.12139564881423,39.0,6.555191749181138,6.555191749181138,7.261052791172368,13.940995925939726,0.2650027054715302,0.0011617496604949768,0,20.03,20.0,20.014754098360658,-0.030000000000001137,none,none,-1,1.6105100000000008,4.000000000000001,0.0,increase_kp_ki_for_underheating,no proactive trigger; fallback to reactive rule,1.771561000000001,4.200000000000001,0.0
2026-04-02 00:35:00,reactive,2026-04-02 00:30:00,2026-04-02 00:34:00,34.66973001961344,39.0,4.932830521951816,4.932830521951816,5.5662330037710746,13.782700862885097,0.31398614521284696,0.0011485584052404246,0,20.03,20.0,20.012295081967213,-0.030000000000001137,none,none,-1,1.771561000000001,4.200000000000001,0.0,increase_kp_ki_for_underheating,no proactive trigger; fallback to reactive rule,1.9487171000000014,4.400000000000001,0.0
2026-04-02 00:40:00,reactive,2026-04-02 00:35:00,2026-04-02 00:39:00,36.03784920574855,39.0,3.4923797310997187,3.4923797310997187,4.057612528865164,13.5673134350465,0.4073079266875807,0.0011306094529205417,0,20.03,20.0,20.00983606557377,-0.030000000000001137,none,none,-1,1.9487171000000014,4.400000000000001,0.0,increase_kp_ki_for_underheating,no proactive trigger; fallback to reactive rule,2.1435888100000016,4.600000000000001,0.0
2026-04-02 00:45:00,reactive,2026-04-02 00:40:00,2026-04-02 00:44:00,37.173171373931744,39.0,2.260233183259582,2.260233183259582,2.7297223410319944,12.961976720020427,0.45211786597599185,0.0010801647266683691,0,20.03,20.0,20.007377049180327,-0.030000000000001137,none,none,-1,2.1435888100000016,4.600000000000001,0.0,increase_kp_ki_for_underheating,no proactive trigger; fallback to reactive rule,2.357947691000002,4.800000000000002,0.0
2026-04-02 00:50:00,hold,2026-04-02 00:45:00,2026-04-02 00:49:00,38.048936840561,39.0,1.2802549773655714,1.2802549773655714,1.6431255068980661,12.149114393216724,0.4426143838967277,0.001012426199434727,0,20.03,20.0,20.00491803278689,-0.030000000000001137,none,none,-1,2.357947691000002,4.800000000000002,0.0,hold,no proactive trigger; fallback to reactive rule,2.357947691000002,4.800000000000002,0.0
2026-04-02 00:55:00,reactive,2026-04-02 00:50:00,2026-04-02 00:54:00,38.6023903157483,39.0,0.5963194239804566,0.5963194239804566,0.8166731840528314,10.873475688959441,0.28829340666443287,0.0009061229740799535,0,20.03,20.0,20.002459016393445,-0.030000000000001137,none,none,-1,2.357947691000002,4.800000000000002,0.0,raise_ki_for_small_persistent_error,no proactive trigger; fallback to reactive rule,2.357947691000002,5.0,0.0
2026-04-02 01:00:00,proactive,2026-04-02 00:55:00,2026-04-02 00:59:00,38.958198178473296,39.0,0.10940999211167365,0.10940999211167365,0.3176153894741063,10.243548431027493,0.3169543698529743,0.0008536290359189579,0,20.0,20.0,20.0,0.0,night_cooler_preference,cooler,60,2.357947691000002,5.0,0.0,proactive_prepare_for_cooler_habit,user habit event 'night_cooler_preference' in 60 min,2.2636297833600016,4.8,0.0
2026-04-02 01:05:00,proactive,2026-04-02 01:00:00,2026-04-02 01:04:00,39.14619700693861,39.0,0.0,0.0,0.0,9.589813730182575,0.0,0.0007991511441818813,0,20.0,20.0,20.0,0.0,night_cooler_preference,cooler,55,2.2636297833600016,4.8,0.0,proactive_prepare_for_cooler_habit,user habit event 'night_cooler_preference' in 55 min,2.1730845920256017,4.6,0.0
2026-04-02 01:10:00,proactive,2026-04-02 01:05:00,2026-04-02 01:09:00,39.19930785537696,39.0,0.08257019870688538,-0.08257019870688538,0.20875137961777313,8.994944513232014,0.22656481595048905,0.0007495787094360011,0,20.0,20.0,20.0,0.0,night_cooler_preference,cooler,50,2.1730845920256017,4.6,0.0,proactive_prepare_for_cooler_habit,user habit event 'night_cooler_preference' in 50 min,2.0861612083445777,4.3999999999999995,0.0
2026-04-02 01:15:00,proactive,2026-04-02 01:10:00,2026-04-02 01:14:00,39.18108531182615,39.0,0.04257402477997232,-0.04257402477997232,0.2128701238998616,8.6559600917431,0.17763255795815805,0.0007213300076452584,0,20.0,20.0,20.0,0.0,night_cooler_preference,cooler,45,2.0861612083445777,4.3999999999999995,0.0,proactive_prepare_for_cooler_habit,user habit event 'night_cooler_preference' in 45 min,2.0027147600107944,4.199999999999999,0.0
2026-04-02 01:20:00,proactive,2026-04-02 01:15:00,2026-04-02 01:19:00,39.10237142570716,39.0,0.0,0.0,0.0,8.347286535689353,0.0,0.000695607211307446,0,20.0,20.0,20.0,0.0,night_cooler_preference,cooler,40,2.0027147600107944,4.199999999999999,0.0,proactive_prepare_for_cooler_habit,user habit event 'night_cooler_preference' in 40 min,1.9226061696103625,3.999999999999999,0.0
2026-04-02 01:25:00,proactive,2026-04-02 01:20:00,2026-04-02 01:24:00,38.95203643940475,39.0,0.0,0.0,0.0,7.949796700656526,0.0,0.0006624830583880438,0,20.0,20.0,20.0,0.0,night_cooler_preference,cooler,35,1.9226061696103625,3.999999999999999,0.0,proactive_prepare_for_cooler_habit,user habit event 'night_cooler_preference' in 35 min,1.845701922825948,3.799999999999999,0.0
2026-04-02 01:30:00,proactive,2026-04-02 01:25:00,2026-04-02 01:29:00,38.753803488979,39.0,0.09298453297368212,0.09298453297368212,0.24619651102099738,7.732588148630031,0.22179158699995,0.0006443823457191693,0,20.0,20.0,20.0,0.0,night_cooler_preference,cooler,30,1.845701922825948,3.799999999999999,0.0,proactive_prepare_for_cooler_habit,user habit event 'night_cooler_preference' in 30 min,1.77187384591291,3.5999999999999988,0.0
2026-04-02 01:35:00,proactive,2026-04-02 01:30:00,2026-04-02 01:34:00,38.60014454632283,39.0,0.33913281576301274,0.33913281576301274,0.39985545367716924,7.84077732297727,0.11136535534380645,0.0006533981102481058,0,20.0,20.0,20.0,0.0,night_cooler_preference,cooler,25,1.77187384591291,3.5999999999999988,0.0,proactive_prepare_for_cooler_habit,user habit event 'night_cooler_preference' in 25 min,1.7009988920763934,3.3999999999999986,0.0
2026-04-02 01:40:00,proactive,2026-04-02 01:35:00,2026-04-02 01:39:00,38.45095904865801,39.0,0.4901269766770341,0.4901269766770341,0.5490409513419934,7.793218260467507,0.11650153265714931,0.0006494348550389589,0,20.0,20.0,20.0,0.0,night_cooler_preference,cooler,20,1.7009988920763934,3.3999999999999986,0.0,proactive_prepare_for_cooler_habit,user habit event 'night_cooler_preference' in 20 min,1.6329589363933377,3.1999999999999984,0.0
2026-04-02 01:45:00,proactive,2026-04-02 01:40:00,2026-04-02 01:44:00,38.305787511756826,39.0,0.6368284072443544,0.6368284072443544,0.6942124882431742,7.744293199363852,0.12047089666475934,0.0006453577666136543,0,20.0,20.0,20.0,0.0,night_cooler_preference,cooler,15,1.6329589363933377,3.1999999999999984,0.0,proactive_prepare_for_cooler_habit,user habit event 'night_cooler_preference' in 15 min,1.567640578937604,2.9999999999999982,0.0
2026-04-02 01:50:00,proactive,2026-04-02 01:45:00,2026-04-02 01:49:00,38.16322410278248,39.0,0.7803023170003754,0.7803023170003754,0.836775897217521,7.689357762317686,0.12376490960482538,0.0006407798135264738,0,20.0,20.0,20.0,0.0,night_cooler_preference,cooler,10,1.567640578937604,2.9999999999999982,0.0,proactive_prepare_for_cooler_habit,user habit event 'night_cooler_preference' in 10 min,1.5049349557800997,2.799999999999998,0.0
2026-04-02 01:55:00,proactive,2026-04-02 01:50:00,2026-04-02 01:54:00,38.021283911810755,39.0,0.9223241819410462,0.9223241819410462,0.9787160881892447,7.625040575233126,0.12669030244727453,0.0006354200479360937,0,20.0,20.0,20.0,0.0,night_cooler_preference,cooler,5,1.5049349557800997,2.799999999999998,0.0,proactive_prepare_for_cooler_habit,user habit event 'night_cooler_preference' in 5 min,1.4447375575488957,2.599999999999998,0.0
2026-04-02 02:00:00,proactive,2026-04-02 01:55:00,2026-04-02 01:59:00,37.87761264110297,39.0,1.0651128004796575,1.0651128004796575,1.1223873588970292,7.548668268881353,0.12943449479577523,0.0006290556890734462,0,20.0,20.0,20.0,0.0,night_cooler_preference,cooler,0,1.4447375575488957,2.599999999999998,0.0,proactive_prepare_for_cooler_habit,user habit event 'night_cooler_preference' in 0 min,1.3869480552469398,2.3999999999999977,0.0
2026-04-02 02:05:00,reactive,2026-04-02 02:00:00,2026-04-02 02:04:00,37.50436266272429,38.0,0.30066547335697325,0.30066547335697325,0.4956373372757099,6.079024797467452,0.2575909926186465,0.0005065853997889543,0,20.0,20.0,20.0,0.0,none,none,-1,1.3869480552469398,2.3999999999999977,0.0,raise_ki_for_small_persistent_error,no proactive trigger; fallback to reactive rule,1.3869480552469398,2.5969999999999978,0.0
2026-04-02 02:10:00,reactive,2026-04-02 02:05:00,2026-04-02 02:09:00,37.28821141009263,38.0,0.6421400943257808,0.6421400943257808,0.7117885899073713,7.13367547884805,0.11285942314156923,0.0005944729565706711,0,20.0,20.0,20.0,0.0,none,none,-1,1.3869480552469398,2.5969999999999978,0.0,raise_ki_for_small_persistent_error,no proactive trigger; fallback to reactive rule,1.3869480552469398,2.796999999999998,0.0
2026-04-02 02:15:00,reactive,2026-04-02 02:10:00,2026-04-02 02:14:00,37.25572067011813,38.0,0.7432368713637345,0.7432368713637345,0.7452842488382672,7.921806544147941,0.05166523694717226,0.0006601505453456617,0,20.0,20.0,20.0,0.0,none,none,-1,1.3869480552469398,2.796999999999998,0.0,raise_ki_for_small_persistent_error,no proactive trigger; fallback to reactive rule,1.3869480552469398,2.996999999999998,0.0
2026-04-02 02:20:00,reactive,2026-04-02 02:15:00,2026-04-02 02:19:00,37.3526035913582,38.0,0.6942746779968431,0.6942746779968431,0.7419221446657573,8.527416538488199,0.0019193468184461855,0.0007106180448740166,0,20.0,20.0,20.0,0.0,none,none,-1,1.3869480552469398,2.996999999999998,0.0,raise_ki_for_small_persistent_error,no proactive trigger; fallback to reactive rule,1.3869480552469398,3.1969999999999983,0.0
2026-04-02 02:25:00,reactive,2026-04-02 02:20:00,2026-04-02 02:24:00,37.5363795828159,38.0,0.5422462907020617,0.5422462907020617,0.6247727260206091,8.983804213317315,0.03972243609215306,0.0007486503511097764,0,20.0,20.0,20.0,0.0,none,none,-1,1.3869480552469398,3.1969999999999983,0.0,raise_ki_for_small_persistent_error,no proactive trigger; fallback to reactive rule,1.3869480552469398,3.3969999999999985,0.0
2026-04-02 02:30:00,reactive,2026-04-02 02:25:00,2026-04-02 02:29:00,37.77331330281138,38.0,0.3241724946368848,0.3241724946368848,0.4280530935996083,9.313912186054026,0.0748781185454529,0.0007761593488378356,0,20.0,20.0,20.0,0.0,none,none,-1,1.3869480552469398,3.3969999999999985,0.0,raise_ki_for_small_persistent_error,no proactive trigger; fallback to reactive rule,1.3869480552469398,3.5969999999999986,0.0
2026-04-02 02:35:00,hold,2026-04-02 02:30:00,2026-04-02 02:34:00,38.012247150907285,38.0,0.0,0.0,0.0,9.419025676420196,0.0,0.0007849188063683497,0,20.0,20.0,20.0,0.0,none,none,-1,1.3869480552469398,3.5969999999999986,0.0,hold,no proactive trigger; fallback to reactive rule,1.3869480552469398,3.5969999999999986,0.0
2026-04-02 02:40:00,hold,2026-04-02 02:35:00,2026-04-02 02:39:00,38.23738343946907,38.0,0.047476687893814075,-0.047476687893814075,0.23738343946907037,9.350331749037071,0.1373878547662514,0.0007791943124197557,0,20.0,20.0,20.0,0.0,none,none,-1,1.3869480552469398,3.5969999999999986,0.0,hold,no proactive trigger; fallback to reactive rule,1.3869480552469398,3.5969999999999986,0.0
2026-04-02 02:45:00,hold,2026-04-02 02:40:00,2026-04-02 02:44:00,38.35253444412689,38.0,0.31165559536436405,-0.31165559536436405,0.3525344441268885,8.919093038436142,0.06997380299633178,0.0007432577532030119,0,20.0,20.0,20.0,0.0,none,none,-1,1.3869480552469398,3.5969999999999986,0.0,hold,no proactive trigger; fallback to reactive rule,1.3869480552469398,3.5969999999999986,0.0
2026-04-02 02:50:00,hold,2026-04-02 02:45:00,2026-04-02 02:49:00,38.411478491972254,38.0,0.3917442478808894,-0.3917442478808894,0.41147849197225383,8.698884808669385,0.05490532196024218,0.0007249070673891153,0,20.0,20.0,20.0,0.0,none,none,-1,1.3869480552469398,3.5969999999999986,0.0,hold,no proactive trigger; fallback to reactive rule,1.3869480552469398,3.5969999999999986,0.0
2026-04-02 02:55:00,hold,2026-04-02 02:50:00,2026-04-02 02:54:00,38.429465970584005,38.0,0.4250105601557735,-0.4250105601557735,0.4294659705840047,8.528389775073697,0.041863356213775696,0.0007106991479228081,0,20.0,20.0,20.0,0.0,none,none,-1,1.3869480552469398,3.5969999999999986,0.0,hold,no proactive trigger; fallback to reactive rule,1.3869480552469398,3.5969999999999986,0.0
2026-04-02 03:00:00,hold,2026-04-02 02:55:00,2026-04-02 02:59:00,38.41892613285406,38.0,0.4249938990416709,-0.4249938990416709,0.4292893213070741,8.400362349046551,0.030873872497439118,0.0007000301957538792,0,20.0,20.0,20.0,0.0,none,none,-1,1.3869480552469398,3.5969999999999986,0.0,hold,no proactive trigger; fallback to reactive rule,1.3869480552469398,3.5969999999999986,0.0
