time,Ta_C,Tsp_C,Ti_C,Phea_W,tariff_USD_per_kWh,error_C,integral_term,derivative_term,Kp,Ki,Kd
2026-04-02 00:00:00,20.03,39.0,20.03,14.25,0.12,18.97,0.0,1138.2,1.0,3.0,0.0
2026-04-02 00:01:00,20.03,39.0,20.6167796276097,14.25,0.12,18.3832203723903,0.0,-35.20677765658185,1.0,3.0,0.0
2026-04-02 00:02:00,20.03,39.0,21.19244776741407,14.25,0.12,17.80755223258593,0.0,-34.54008838826226,1.0,3.0,0.0
2026-04-02 00:03:00,20.03,39.0,21.757214830878407,14.25,0.12,17.242785169121593,0.0,-33.886023807860255,1.0,3.0,0.0
2026-04-02 00:04:00,20.03,39.0,22.31128724503445,14.25,0.12,16.68871275496555,0.0,-33.24434484936255,1.0,3.0,0.0
2026-04-02 00:05:00,20.03,39.0,22.854867527931198,14.25,0.12,16.145132472068802,0.0,-32.61481697380489,1.1,3.2,0.0
2026-04-02 00:06:00,20.03,39.0,23.388154362656902,14.25,0.12,15.611845637343098,0.0,-31.997210083542242,1.1,3.2,0.0
2026-04-02 00:07:00,20.03,39.0,23.9113426699594,14.25,0.12,15.0886573300406,0.0,-31.391298438149846,1.1,3.2,0.0
2026-04-02 00:08:00,20.03,39.0,24.42462367949124,14.25,0.12,14.57537632050876,0.0,-30.79686057191047,1.1,3.2,0.0
2026-04-02 00:09:00,20.03,39.0,24.928184999705728,14.25,0.12,14.071815000294272,0.0,-30.213679212869238,1.1,3.2,0.0
2026-04-02 00:10:00,20.03,39.0,25.422210686429345,14.25,0.12,13.577789313570655,0.0,-29.641541203417034,1.2100000000000002,3.4000000000000004,0.0
2026-04-02 00:11:00,20.03,39.0,25.906881310135674,14.25,0.12,13.093118689864326,0.0,-29.080237422379724,1.2100000000000002,3.4000000000000004,0.0
2026-04-02 00:12:00,20.03,39.0,26.38237402194542,14.25,0.12,12.61762597805458,0.0,-28.529562708584777,1.2100000000000002,3.4000000000000004,0.0
2026-04-02 00:13:00,20.03,39.0,26.84886261837659,14.25,0.12,12.15113738162341,0.0,-27.98931578587016,1.2100000000000002,3.4000000000000004,0.0
2026-04-02 00:14:00,20.03,39.0,27.306517604868564,14.25,0.12,11.693482395131436,0.0,-27.459299189518447,1.2100000000000002,3.4000000000000004,0.0
2026-04-02 00:15:00,20.03,39.0,27.75550625810325,14.25,0.12,11.24449374189675,0.0,-26.93931919408115,1.3310000000000004,3.6000000000000005,0.0
2026-04-02 00:16:00,20.03,39.0,28.195992687146088,14.25,0.12,10.804007312853912,0.0,-26.42918574257031,1.3310000000000004,3.6000000000000005,0.0
2026-04-02 00:17:00,20.03,39.0,28.62813789342927,14.25,0.12,10.371862106570731,0.0,-25.92871237699086,1.3310000000000004,3.6000000000000005,0.0
2026-04-02 00:18:00,20.03,39.0,29.05209982959909,13.83752913702767,0.12,9.94790017040091,0.1657983361733485,-25.437716170189262,1.3310000000000004,3.6000000000000005,0.0
2026-04-02 00:19:00,20.03,39.0,29.451048930977045,13.87946494723499,0.12,9.548951069022955,0.32494752065706445,-23.936946082677295,1.3310000000000004,3.6000000000000005,0.0
2026-04-02 00:20:00,20.03,39.0,29.844170189195015,14.25,0.12,9.155829810804985,0.32494752065706445,-23.587275493078224,1.4641000000000006,3.8000000000000007,0.0
2026-04-02 00:21:00,20.03,39.0,30.24510486369877,14.25,0.12,8.75489513630123,0.32494752065706445,-24.056080470225325,1.4641000000000006,3.8000000000000007,0.0
2026-04-02 00:22:00,20.03,39.0,30.63844728288748,14.006514917038418,0.12,8.36155271711252,0.4643067326089398,-23.60054515132255,1.4641000000000006,3.8000000000000007,0.0
2026-04-02 00:23:00,20.03,39.0,31.014315105347986,13.96196688150195,0.12,7.985684894652014,0.59740148085314,-22.55206934763038,1.4641000000000006,3.8000000000000007,0.0
2026-04-02 00:24:00,20.03,39.0,31.381230970653938,13.907287401632757,0.12,7.618769029346062,0.7243809646755744,-22.014951918357113,1.4641000000000006,3.8000000000000007,0.0
2026-04-02 00:25:00,20.03,39.0,31.738947208827632,14.25,0.12,7.261052791172368,0.7243809646755744,-21.46297429042164,1.6105100000000008,4.000000000000001,0.0
2026-04-02 00:26:00,20.03,39.0,32.104001646941406,14.25,0.12,6.895998353058594,0.7243809646755744,-21.90326628682641,1.6105100000000008,4.000000000000001,0.0
2026-04-02 00:27:00,20.03,39.0,32.462143271885594,13.862664613105462,0.12,6.537856728114406,0.8333452434774812,-21.48849749665132,1.6105100000000008,4.000000000000001,0.0
2026-04-02 00:28:00,20.03,39.0,32.79755347762545,13.735979557484338,0.12,6.202446522374551,0.9367193521837237,-20.124612344391295,1.6105100000000008,4.000000000000001,0.0
2026-04-02 00:29:00,20.03,39.0,33.12139564881423,13.606335459108815,0.12,5.878604351185771,1.0346960913701533,-19.430530271326774,1.6105100000000008,4.000000000000001,0.0
2026-04-02 00:30:00,20.03,39.0,33.433766996228925,14.25,0.12,5.5662330037710746,1.0346960913701533,-18.742280844881805,1.771561000000001,4.200000000000001,0.0
2026-04-02 00:31:00,20.03,39.0,33.766727666062685,13.983113816312585,0.12,5.233272333937315,1.1219172969357751,-19.977640190025596,1.771561000000001,4.200000000000001,0.0
2026-04-02 00:32:00,20.03,39.0,34.08239355227603,13.768124894607261,0.12,4.917606447723969,1.2038774043978413,-18.939953172800728,1.771561000000001,4.200000000000001,0.0
