time,Ta_C,Tsp_base_C,Tsp_C,Ti_C,Phea_W,tariff_USD_per_kWh,error_C,integral_term,derivative_term,Kp,Ki,Kd,comfort_weight,energy_weight,response_weight
2026-04-02 15:00:00,25.76,38.0,38.0,25.76,12.749999999999998,0.12,12.239999999999998,0.20399999999999996,734.3999999999999,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 15:01:00,25.76,38.0,38.0,26.28501335101921,12.713111092688324,0.12,11.71498664898079,0.39924977748301316,-31.500801061152472,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 15:02:00,25.76,38.0,38.0,26.79856585089363,12.666285015693333,0.12,11.201434149106369,0.585940346634786,-30.8131499924653,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 15:03:00,25.76,38.0,38.0,27.300465338788175,12.61019947201595,0.12,10.699534661211825,0.7642659243216497,-30.11396927367265,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 15:04:00,25.76,38.0,38.0,27.790551198827572,12.545507312025403,0.12,10.209448801172428,0.9344234043411902,-29.4051516023638,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 15:05:00,25.76,38.0,38.0,28.268692739379052,12.47283690733313,0.12,9.731307260620948,1.0966118586848728,-28.688492433088797,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 15:06:00,25.76,38.0,38.0,28.734787618420714,12.392792544190604,0.12,9.265212381579286,1.2510320650445275,-27.965692742499755,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 15:07:00,25.76,38.0,38.0,29.18876031492693,12.305954834562431,0.12,8.811239685073069,1.3978860597957452,-27.23836179037299,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 15:08:00,25.76,38.0,38.0,29.630560646127112,12.212881143106955,0.12,8.369439353872888,1.5373767156936267,-26.50801987201085,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 15:09:00,25.76,38.0,38.0,30.06016233042429,12.114106028375431,0.12,7.939837669575709,1.6697073435198884,-25.77610105783073,1.0,2.5,0.0,0.34,0.33,0.33
