time,Ta_C,Tsp_C,Ti_C,Phea_W,tariff_USD_per_kWh,error_C,integral_term,derivative_term
2026-04-02 00:00:00,20.03,40.0,20.03,14.25,0.12,19.97,0.0,1198.2
2026-04-02 00:01:00,20.03,40.0,20.6167796276097,14.25,0.12,19.3832203723903,0.0,-35.20677765658185
2026-04-02 00:02:00,20.03,40.0,21.19244776741407,14.25,0.12,18.80755223258593,0.0,-34.54008838826226
2026-04-02 00:03:00,20.03,40.0,21.757214830878407,14.25,0.12,18.242785169121593,0.0,-33.886023807860255
2026-04-02 00:04:00,20.03,40.0,22.31128724503445,14.25,0.12,17.68871275496555,0.0,-33.24434484936255
2026-04-02 00:05:00,20.03,40.0,22.854867527931198,14.25,0.12,17.145132472068802,0.0,-32.61481697380489
2026-04-02 00:06:00,20.03,40.0,23.388154362656902,14.25,0.12,16.611845637343098,0.0,-31.997210083542242
2026-04-02 00:07:00,20.03,40.0,23.9113426699594,14.25,0.12,16.0886573300406,0.0,-31.391298438149846
2026-04-02 00:08:00,20.03,40.0,24.42462367949124,14.25,0.12,15.57537632050876,0.0,-30.79686057191047
2026-04-02 00:09:00,20.03,40.0,24.928184999705728,14.25,0.12,15.071815000294272,0.0,-30.213679212869238
2026-04-02 00:10:00,20.03,40.0,25.422210686429345,14.25,0.12,14.577789313570655,0.0,-29.641541203417034
2026-04-02 00:11:00,20.03,40.0,25.906881310135674,14.25,0.12,14.093118689864326,0.0,-29.080237422379724
2026-04-02 00:12:00,20.03,40.0,26.38237402194542,14.25,0.12,13.61762597805458,0.0,-28.529562708584777
2026-04-02 00:13:00,20.03,40.0,26.84886261837659,13.808694250704582,0.12,13.15113738162341,0.21918562302705683,-27.98931578587016
2026-04-02 00:14:00,20.03,40.0,27.288345729553924,14.00479385304955,0.12,12.711654270446076,0.4310465275344914,-26.368986670640098
2026-04-02 00:15:00,20.03,40.0,27.727581512041702,14.179178994959686,0.12,12.272418487958298,0.6355868356671297,-26.354146949266664
2026-04-02 00:16:00,20.03,40.0,28.165680501772925,14.25,0.12,11.834319498227075,0.6355868356671297,-26.285939383873398
