KP,KI,KD,J_total,J_comfort_raw,J_energy_raw,J_response_raw,J_comfort_norm,J_energy_norm,J_response_norm
1.0,3.0,0.0,1.8118883166965745,10547.134817416307,666070.4114044794,0.33227680420163197,0.09802129567058025,1.0380442741673055,0.028373756417636765
1.0,2.5,0.0,1.815699443304167,10176.071485895813,666994.2232236307,0.355246249112174,0.09457276588868913,1.0394839981857558,0.030335161567496594
1.0,2.0,0.0,1.8978438559669055,10869.847725508887,665866.211856249,0.41574826089447503,0.10102047392405446,1.0377260372839388,0.03550154490626944
1.0,1.5,0.0,2.028176717034935,14905.769696653506,661226.0390760171,0.3572208487055353,0.13852888807494781,1.0304945123532483,0.030503776430694806
0.5,3.0,0.0,2.228869405448662,23243.42955227852,667989.78292372,0.12618674843891475,0.2160161143270865,1.041035538426209,0.010775329538702085
0.5,1.0,0.0,2.2941260475143395,26030.920785267168,662834.9107116885,0.06032639669638662,0.24192206007045036,1.033001874879317,0.005151387228277051
0.5,2.5,0.0,2.296247595770749,24936.91341883234,667779.8115867607,0.11331932345327597,0.2317547472042088,1.0407083064394131,0.009676555331029195
0.5,2.0,0.0,2.4128295281178866,27731.62821878016,667608.0870210356,0.09807685589299961,0.2577278261932321,1.0404406805260973,0.008374971662562916
0.5,1.5,0.0,2.4365614788267993,28592.521072252377,666918.3208165308,0.08027982656180198,0.2657286562187993,1.0393657072997826,0.0068552490433020355
1.0,3.0,0.01,2.5069030622639508,10665.83911372307,665984.1619525815,1.1398861585883178,0.0991244909105273,1.0379098578230874,0.09733707498882269
1.0,2.5,0.01,2.5407715422567176,10160.330294571868,666892.1549216704,1.2053999623660023,0.09442647289104737,1.0393249287921755,0.10293142490093052
0.3,3.0,0.0,2.628591141105669,31638.838983791626,667128.0309624065,0.13900422617365138,0.29404004446620213,1.0396925322306514,0.011869838654400729
0.3,2.5,0.0,2.7869840186879955,35447.35518833787,667224.6250868047,0.11706703247818562,0.3294350308216978,1.0398430703359822,0.009996579424352418
1.0,2.0,0.01,2.844925641508474,10793.80568917662,665870.1686737966,1.5289789796665025,0.1003137664574532,1.0377322038268881,0.130562460539432
0.5,3.0,0.01,2.848485745565682,24064.924750411083,667937.9282102849,0.8071922794855256,0.22365079664622647,1.0409547249154327,0.06892770374191168
1.0,1.5,0.01,2.8508615910243598,13790.59051019361,662471.9009958331,1.3790547211968676,0.1281648118917972,1.0324361386590035,0.11776013929063701
0.5,0.8,0.0,2.8576356319234297,38294.36384596915,659286.504900558,0.059365396263239965,0.35589411020556594,1.0274718253956612,0.005069325549993904
1.0,1.0,0.0,2.8811169793605234,34675.57523639471,657184.068550953,0.28762648501004534,0.3222623842051849,1.024195261871533,0.024560979646306578
0.5,2.5,0.01,2.9733827820095184,25893.131465698483,667708.965162842,0.8543868725762065,0.2406414954557469,1.040597895102361,0.07295774096284233
0.5,1.0,0.01,2.9869191501720014,27035.258316501182,662254.29795661,0.8180422886678342,0.2512560135854454,1.0320970129674258,0.06985420692773484
0.3,2.0,0.0,3.0390649563596335,41320.81945552427,667079.7300178017,0.09291648041281532,0.3840209053279933,1.039617257127411,0.007934317259225616
0.3,1.0,0.0,3.0456789318357864,42681.3599838651,662089.7484036806,0.03573166001264173,0.39666528199606105,1.0318405690264993,0.0030511952828982006
0.5,1.5,0.01,3.1041781315099075,28161.790727954303,666387.5684928016,0.8865142167539968,0.26172560257782246,1.0385385508892668,0.07570115677315283
0.5,2.0,0.01,3.1055523424916256,28772.47344946277,667580.0381685644,0.8527153086524595,0.267401069199056,1.0403969675038611,0.07281500289924844
0.1,3.0,0.0,3.2465277840383173,44013.46623285742,665061.060421783,0.19302707753059964,0.40904540064984823,1.0364712407608163,0.016482954002826
2.0,3.0,0.0,3.3254040593615977,10122.781195197838,661771.6144426436,2.1356489316733,0.09407750500207833,1.0313447698872216,0.18236717644639844
1.0,1.0,0.01,3.4096081452302105,32778.69715862545,657551.5871428797,1.0090798564050247,0.3046334783335133,1.0247680249960731,0.08616727285665712
0.3,1.5,0.0,3.4142498389664024,49941.886716893816,666730.7099077771,0.06378404291038692,0.464142018564097,1.0390733231519977,0.005446642299392023
2.0,2.0,0.0,3.4289652630706735,16898.022273352777,659802.7224343923,1.8918276572007948,0.1570441704005939,1.0282763299135715,0.16154680811541325
2.0,1.5,0.0,3.4322989941254196,25831.694390060064,657601.0817048049,1.4136011189875566,0.2400705212660224,1.0248451603044868,0.12071012274908205
0.3,0.8,0.0,3.455305434069329,51760.18634213101,658909.9456213638,0.02718903319924027,0.48104064442491073,1.0268849727191882,0.002321723922558702
0.1,2.5,0.0,3.5183651477486286,50502.891425850816,664618.6811201704,0.15903653383093586,0.46935579551880674,1.035781810194338,0.013580435996025689
2.0,2.5,0.0,3.541905346830024,12859.326793671979,660948.7494246468,2.24177291486438,0.11950998025413624,1.0300623674479015,0.19142930781114414
0.5,0.8,0.01,3.6397205311150755,40580.74226105437,658686.9792995016,0.8519172819207058,0.37714289279150826,1.026537488564693,0.07274685785928411
0.3,3.0,0.01,3.773491953354842,32137.727919430163,666975.8477136183,1.4528936707488869,0.2986765396578873,1.0394553606834336,0.1240653894381972
1.0,0.8,0.0,3.7953497919635995,55277.12182634324,653675.7521170031,0.2435747627401778,0.5137257839362658,1.0187276900895206,0.02079931821927499
0.1,2.0,0.0,3.9059081824502315,59496.37453968767,664316.521680417,0.12402487946883015,0.5529380083823495,1.0353109067118365,0.010590723382664766
2.0,1.0,0.0,4.05156002031039,45502.125584248155,653130.2336958247,1.076542242902502,0.4228804677995058,1.0178775213027658,0.09192801600100957
0.3,2.5,0.01,4.057849657996991,36957.643153907586,667079.8157231288,1.5234188861777074,0.34347110656962243,1.0396173906957582,0.13008767344531202
1.0,0.8,0.01,4.157958482426209,52860.79690754862,654035.0740499181,0.7990499882584834,0.4912693250588985,1.0192876790466319,0.0682324178085085
0.3,2.0,0.01,4.31923872235663,42973.25830289888,666895.665994892,1.5025049474152181,0.3993780804888336,1.0393304006603015,0.12830179192521604
0.3,1.0,0.01,4.387812854675204,44239.569516796386,661543.5198998117,1.5236685683652085,0.41114672363763,1.0309892936040819,0.13010899428829714
3.0,1.0,0.0,4.512730561470392,37793.448248754066,652271.1858945882,2.037660941869662,0.35123877994662717,1.0165387294332557,0.1739997932304001
2.0,0.8,0.0,4.555062124394591,59962.83467646895,650034.5348850514,0.8849121324419218,0.5572731219252688,1.013052997693777,0.07556435170744698
0.1,1.5,0.0,4.630961201329437,75771.72603715777,663745.2772436638,0.08849087046338207,0.7041952994754523,1.0344206449518654,0.007556405900030981
0.3,1.5,0.01,4.6978029768434215,51579.303289908115,666381.7688297298,1.4784483813740568,0.47935958208422086,1.0385295123447813,0.12624755540775362
2.0,1.5,0.01,4.7243171706580425,25730.948931073537,657586.3135934346,2.9321552815217125,0.2391342290318054,1.0248221447896317,0.2503823880709384
10.0,0.2,0.0,4.753153875338951,30183.79007829572,641483.0665254912,2.753001830352841,0.28051734076990986,0.9997258739927756,0.2350841297496626
10.0,0.2,0.01,4.760419898672845,30184.807567890548,641482.3024631504,2.761456883981917,0.2805267969539962,0.9997246832319725,0.23580612306708923
10.0,0.2,0.03,4.795891146585152,30187.133401914172,641480.7742435879,2.802872453014377,0.28054841242288486,0.9997223015624983,0.239342678290823
3.0,0.8,0.0,4.851907582923676,47052.37833740545,649550.7448942037,1.9359778049303085,0.4372879619779661,1.0122990302133121,0.16531687428205344
10.0,0.2,0.05,4.859045935070007,30189.82469335746,641479.2458974996,2.876687523703836,0.2805734243222172,0.9997199196958387,0.24564588937630827
0.3,0.8,0.01,4.887705045224482,55319.38757406034,658353.3219477033,1.5119633308240097,0.514118586666622,1.0260174968376354,0.12910946150537372
3.0,1.5,0.0,5.004850248494787,24639.26168557481,656606.5418208597,3.321874520341487,0.22898847853906204,1.023295209406978,0.28366126463924984
0.5,1.0,0.03,5.041004812166417,28189.38686623558,662186.786988446,3.160840572717434,0.26198207120903483,1.0319917998056547,0.26991026563155884
10.0,0.1,0.0,5.10244648015257,36209.77204095581,638795.0516669343,2.839034755689868,0.3365206601445819,0.9955367096266269,0.24243064698030337
10.0,0.1,0.01,5.111709979399172,36210.6073758314,638794.2708120546,2.8498389382951244,0.33652842344790945,0.9955354926953193,0.2433532369464305
