time,Ta_C,Tsp_base_C,Tsp_C,Ti_C,Phea_W,tariff_USD_per_kWh,error_C,integral_term,derivative_term,Kp,Ki,Kd,comfort_weight,energy_weight,response_weight
2026-04-02 08:00:00,21.62,39.0,39.0,21.62,14.25,0.12,17.38,0.0,1042.8,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 08:01:00,21.62,39.0,39.0,22.206779627609702,14.25,0.12,16.793220372390298,0.0,-35.20677765658206,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 08:02:00,21.62,39.0,39.0,22.782447767414077,14.25,0.12,16.217552232585923,0.0,-34.540088388262475,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 08:03:00,21.62,39.0,39.0,23.347214830878414,14.25,0.12,15.652785169121586,0.0,-33.886023807860255,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 08:04:00,21.62,39.0,39.0,23.90128724503446,14.25,0.12,15.09871275496554,0.0,-33.24434484936276,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 08:05:00,21.62,39.0,39.0,24.44486752793121,14.25,0.12,14.555132472068792,0.0,-32.61481697380489,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 08:06:00,21.62,39.0,39.0,24.978154362656916,14.25,0.12,14.021845637343084,0.0,-31.997210083542456,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 08:07:00,21.62,39.0,39.0,25.501342669959413,14.061101385458944,0.12,13.498657330040587,0.2249776221673431,-31.391298438149846,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 08:08:00,21.62,39.0,39.0,26.006845303442393,14.096980197665864,0.12,12.993154696557607,0.4415302004433032,-30.330158008978785,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 08:09:00,21.62,39.0,39.0,26.50425294239523,14.120228686113228,0.12,12.49574705760477,0.6497926514033827,-29.84445833717018,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 08:10:00,21.62,39.0,39.0,26.99319879140996,14.13156622078975,0.12,12.00680120859004,0.8499060048798834,-29.33675094088379,1.0,2.5,0.0,0.45,0.35,0.2
2026-04-02 08:11:00,21.62,39.0,39.0,27.473352622729937,14.13168936352269,0.12,11.526647377270063,1.0420167945010512,-28.809229879198668,1.0,2.5,0.0,0.45,0.35,0.2
2026-04-02 08:12:00,21.62,39.0,39.0,27.94441914460706,14.121272043953606,0.12,11.05558085539294,1.226276475424267,-28.263991312627397,1.0,2.5,0.0,0.45,0.35,0.2
2026-04-02 08:13:00,21.62,39.0,39.0,28.406136407802652,14.100965763766238,0.12,10.593863592197348,1.4028408686275562,-27.703035791735502,1.0,2.5,0.0,0.45,0.35,0.2
2026-04-02 08:14:00,21.62,39.0,39.0,28.85827425067309,14.071399827117755,0.12,10.141725749326909,1.571869631116338,-27.128270572226327,1.0,2.5,0.0,0.45,0.35,0.2
