time,Ta_C,Tsp_base_C,Tsp_C,Ti_C,Phea_W,tariff_USD_per_kWh,error_C,integral_term,derivative_term,Kp,Ki,Kd,comfort_weight,energy_weight,response_weight
2026-04-02 06:00:00,20.18,39.0,39.0,20.18,14.25,0.12,18.82,0.0,1129.2,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:01:00,20.18,39.0,39.0,20.766779627609697,14.25,0.12,18.233220372390303,0.0,-35.20677765658185,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:02:00,20.18,39.0,39.0,21.342447767414065,14.25,0.12,17.657552232585935,0.0,-34.54008838826205,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:03:00,20.18,39.0,39.0,21.9072148308784,14.25,0.12,17.0927851691216,0.0,-33.88602380786004,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:04:00,20.18,39.0,39.0,22.46128724503444,14.25,0.12,16.53871275496556,0.0,-33.24434484936255,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:05:00,20.18,39.0,39.0,23.004867527931186,14.25,0.12,15.995132472068814,0.0,-32.61481697380468,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:06:00,20.18,39.0,39.0,23.53815436265689,14.25,0.12,15.46184563734311,0.0,-31.997210083542242,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:07:00,20.18,39.0,39.0,24.061342669959387,14.25,0.12,14.938657330040613,0.0,-31.391298438149846,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:08:00,20.18,39.0,39.0,24.574623679491236,14.25,0.12,14.425376320508764,0.0,-30.796860571910898,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:09:00,20.18,39.0,39.0,25.078184999705726,14.25,0.12,13.921815000294274,0.0,-30.21367921286945,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:10:00,20.18,39.0,39.0,25.572210686429344,13.987280534969434,0.12,13.427789313570656,0.22379648855951093,-29.641541203417034,1.0,2.5,0.0,0.4,0.3,0.3
2026-04-02 06:11:00,20.18,39.0,39.0,26.04606317470715,14.053175414412163,0.12,12.95393682529285,0.43969543564772506,-28.431149296668394,1.0,2.5,0.0,0.4,0.3,0.3
2026-04-02 06:12:00,20.18,39.0,39.0,26.513655995085053,14.105846927572383,0.12,12.486344004914947,0.6478011690629741,-28.055569222674137,1.0,2.5,0.0,0.4,0.3,0.3
2026-04-02 06:13:00,20.18,39.0,39.0,26.97456317767545,14.145999612578843,0.12,12.02543682232455,0.8482251161017167,-27.654430955423805,1.0,2.5,0.0,0.4,0.3,0.3
