time,Ta_C,Tsp_C,Ti_C,Phea_W,tariff_USD_per_kWh,error_C,integral_term,derivative_term,Kp,Ki,Kd
2026-04-02 00:00:00,21.89,39.0,21.89,14.25,0.12,17.11,0.0,1026.6,1.0,2.0,0.0
2026-04-02 00:01:00,21.89,39.0,22.4767796276097,14.25,0.12,16.5232203723903,0.0,-35.20677765658206,1.0,2.0,0.0
2026-04-02 00:02:00,21.89,39.0,23.052447767414073,14.25,0.12,15.947552232585927,0.0,-34.54008838826226,1.0,2.0,0.0
2026-04-02 00:03:00,21.89,39.0,23.61721483087841,14.25,0.12,15.38278516912159,0.0,-33.886023807860255,1.0,2.0,0.0
2026-04-02 00:04:00,21.89,39.0,24.17128724503446,14.25,0.12,14.82871275496554,0.0,-33.244344849362975,1.0,2.0,0.0
2026-04-02 00:05:00,21.89,39.0,24.714867527931204,14.25,0.12,14.285132472068796,0.0,-32.61481697380468,1.1,2.0,0.0
2026-04-02 00:06:00,21.89,39.0,25.24815436265691,14.25,0.12,13.751845637343092,0.0,-31.997210083542242,1.1,2.0,0.0
2026-04-02 00:07:00,21.89,39.0,25.771342669959406,14.25,0.12,13.228657330040594,0.0,-31.391298438149846,1.1,2.0,0.0
2026-04-02 00:08:00,21.89,39.0,26.28462367949125,14.25,0.12,12.71537632050875,0.0,-30.796860571910685,1.1,2.0,0.0
2026-04-02 00:09:00,21.89,39.0,26.78818499970574,13.840057000333495,0.12,12.211815000294258,0.2035302500049043,-30.21367921286945,1.1,2.0,0.0
2026-04-02 00:10:00,21.89,39.0,27.26533025129353,13.706352881877141,0.12,11.73466974870647,0.3991080791500121,-28.62871509526734,1.1,2.0,0.0
2026-04-02 00:11:00,21.89,39.0,27.727934490657297,13.57322373555509,0.12,11.272065509342703,0.5869758376390571,-27.75625436182601,1.1,2.0,0.0
2026-04-02 00:12:00,21.89,39.0,28.1762967479991,13.440815360879137,0.12,10.8237032520009,0.7673708918390721,-26.901735440508148,1.1,2.0,0.0
2026-04-02 00:13:00,21.89,39.0,28.61071639463048,13.309263203096936,0.12,10.38928360536952,0.9405256185952309,-26.06517879788278,1.1,2.0,0.0
2026-04-02 00:14:00,21.89,39.0,29.031492710150197,13.178692832353573,0.12,9.968507289849803,1.1066674067593942,-25.246578931183024,1.1,2.0,0.0
2026-04-02 00:15:00,21.89,39.0,29.43892447754871,14.00532795787538,0.12,9.56107552245129,1.2660186654669157,-24.44590604391081,1.2,2.0,0.0
2026-04-02 00:16:00,21.89,39.0,29.87267974068293,13.789065650758218,0.12,9.12732025931707,1.4181406697888668,-26.02531578805319,1.2,2.0,0.0
2026-04-02 00:17:00,21.89,39.0,30.289316100054524,13.579458149510486,0.12,8.710683899945476,1.563318734787958,-24.998181562295656,1.2,2.0,0.0
2026-04-02 00:18:00,21.89,39.0,30.689431754286215,13.376338305956251,0.12,8.310568245713785,1.7018282055498544,-24.006939253901436,1.2,2.0,0.0
2026-04-02 00:19:00,21.89,39.0,31.073606691531392,13.179541491544324,0.12,7.926393308468608,1.833934760690998,-23.050496234710636,1.2,2.0,0.0
2026-04-02 00:20:00,21.89,39.0,31.442403138066567,13.366785494196568,0.12,7.557596861933433,1.9598947083898886,-22.127786792110484,1.25,2.0,0.0
2026-04-02 00:21:00,21.89,39.0,31.81192615454023,13.144484185119815,0.12,7.188073845459769,2.0796959391475514,-22.171380988419855,1.25,2.0,0.0
2026-04-02 00:22:00,21.89,39.0,32.16529792300701,12.930592877102773,0.12,6.83470207699299,2.193607640430768,-21.202306108006752,1.25,2.0,0.0
2026-04-02 00:23:00,21.89,39.0,32.50317059276403,12.7248130201477,0.12,6.496829407235971,2.3018881305513674,-20.27236018542112,1.25,2.0,0.0
2026-04-02 00:24:00,21.89,39.0,32.82617167020722,12.526855951003466,0.12,6.1738283297927765,2.404785269381247,-19.380064646591677,1.25,2.0,0.0
