model,comfort,energy,responsiveness,stability,overall_weighted_score
C2,1.0,0.9642269961329051,1.0,0.7134054031276928,0.9319491794654102
C1,0.9804951689776484,0.9353239169240462,0.3492063492063492,0.9628419490293092,0.9002842673947699
C0,0.9874396015832908,0.2781465840176207,0.0,0.5,0.5784198158386025
C3,0.0,0.5,1.0,0.0,0.25
