metric,C0,C1,C2,C3
MAD_C,0.2225918604083098,0.27773468907491533,0.19691667008482477,3.3840254523321587
CVR_fraction,0.013043478260869565,0.011594202898550725,0.005797101449275362,0.43043478260869567
CE_kWh,0.1878579956930402,0.18297869289840685,0.18273219619195777,0.18233720570906548
EC_USD,0.025330115939346785,0.024773977328343733,0.024756982048126982,0.026048677036644364
RT_s,2820.0,2700.0,2640.0,2640.0
ST_s,6960.0,6840.0,3180.0,
OC_count,2.0,0.0,1.0,
MO_C,2.2050999138774827,3.0827620004964444,3.0694533826657775,14.014950857233437
