time,Ta_C,Tsp_C,Ti_C,Phea_W,tariff_USD_per_kWh,error_C,integral_term,derivative_term
2026-04-02 00:57:00,20.03,39.0,38.97422196940816,11.143212909260527,0.12,0.0,3.7144043030868423,0.0
2026-04-02 00:58:00,20.03,39.0,39.074336643223425,11.143212909260527,0.12,0.0,3.7144043030868423,0.0
2026-04-02 00:59:00,20.03,39.0,39.172555506542054,11.143212909260527,0.12,0.0,3.7144043030868423,0.0
2026-04-02 01:00:00,20.0,39.0,39.268346367474194,10.861449223412624,0.12,-0.2683463674741944,3.709931863628939,-16.100782048451663
2026-04-02 01:01:00,20.0,39.0,39.35072096614742,10.761538576432025,0.12,-0.35072096614742065,3.7040865141931487,-4.942475920393576
2026-04-02 01:02:00,20.0,39.0,39.42742161486635,10.663466846969781,0.12,-0.427421614866347,3.696962820612043,-4.602038923135581
2026-04-02 01:03:00,20.0,39.0,39.49863147981821,10.56732540802701,0.12,-0.4986314798182079,3.688652295948406,-4.272591897111653
2026-04-02 01:04:00,20.0,39.0,39.564534021197275,10.473196165588078,0.12,-0.5645340211972751,3.679243395595118,-3.9541524827440355
2026-04-02 01:05:00,20.0,39.0,39.62531259780918,10.381151959085718,0.12,-0.6253125978091774,3.668821518964965,-3.6467145967141334
2026-04-02 01:06:00,20.0,39.0,39.681150095652754,10.291256956459504,0.12,-0.6811500956527539,3.6574690173707527,-3.35024987061459
2026-04-02 01:07:00,20.0,39.0,39.732228579802715,10.203567043319406,0.12,-0.7322285798027153,3.645265207707374,-3.0647090489976847
2026-04-02 01:08:00,20.0,39.0,39.77872896890924,10.118130205767418,0.12,-0.7787289689092418,3.6322863915588868,-2.7900233463915924
2026-04-02 01:09:00,20.0,39.0,39.82083073162498,10.034986906470431,0.12,-0.8208307316249801,3.6186058793651372,-2.5261057629442973
2026-04-02 01:10:00,20.0,39.0,39.85871160426638,9.95417045361571,0.12,-0.8587116042663823,3.6042940192940307,-2.27285235848413
2026-04-02 01:11:00,20.0,39.0,39.892547329014185,9.875707362417199,0.12,-0.8925473290141852,3.589418230477128,-2.0301434848681765
2026-04-02 01:12:00,20.0,39.0,39.92251141195736,9.799617708876156,0.12,-0.922511411957359,3.5740430402778385,-1.7978449765904259
2026-04-02 01:13:00,20.0,39.0,39.948774900285834,9.725915475533391,0.12,-0.9487749002858337,3.5582301252730746,-1.5758092997084816
2026-04-02 01:14:00,20.0,39.0,39.971506177939574,9.65460888898267,0.12,-0.971506177939574,3.542038355640748,-1.3638766592244167
2026-04-02 01:15:00,20.0,39.0,39.99087077902532,9.585700748945657,0.12,-0.9908707790253217,3.525523842656993,-1.1618760651448667
2026-04-02 01:16:00,20.0,39.0,40.007031218317024,9.519188748738102,0.12,-1.0070312183170245,3.508739989018376,-0.9696263575021646
2026-04-02 01:17:00,20.0,39.0,40.02014683816197,9.45506578698506,0.12,-1.0201468381619705,3.4917375417156764,-0.7869371906967615
2026-04-02 01:18:00,20.0,39.0,40.030373671121644,9.393320270469303,0.12,-1.0303736711216445,3.474564647196982,-0.6136099775804382
2026-04-02 01:19:00,20.0,39.0,40.03786431768421,9.333936408022526,0.12,-1.0378643176842104,3.457266908568912,-0.4494387937539557
2026-04-02 01:20:00,20.0,39.0,40.042767838394376,9.276894495392641,0.12,-1.0427678383943757,3.4398874445956724,-0.2942112426099186
2026-04-02 01:21:00,20.0,39.0,40.04522965975606,9.222171191043154,0.12,-1.0452296597560604,3.4224669502664047,-0.14770928170108277
2026-04-02 01:22:00,20.0,39.0,40.045391493273684,9.169739782861846,0.12,-1.0453914932736836,3.405043758711843,-0.00971001105739333
2026-04-02 01:23:00,20.0,39.0,40.04339126700888,9.119570445776207,0.12,-1.0433912670088787,3.387653904261695,0.12001357588829364
2026-04-02 01:24:00,20.0,39.0,40.039363069041286,9.071630490291735,0.12,-1.0393630690412863,3.37033118644434,0.2416918780555477
2026-04-02 01:25:00,20.0,39.0,40.03343710223415,9.02588460198716,0.12,-1.0334371022341529,3.353107234740438,0.3555580084280052
2026-04-02 01:26:00,20.0,39.0,40.02573964971833,8.982295072017065,0.12,-1.0257396497183322,3.336011573911799,0.46184715094923945
2026-04-02 01:27:00,20.0,39.0,40.01639305052142,8.940822018687903,0.12,-1.0163930505214225,3.319071689736442,0.5607959518145833
2026-04-02 01:28:00,20.0,39.0,40.00551568478235,8.901423600187856,0.12,-1.0055156847823525,3.3023130949900694,0.6526419443441966
2026-04-02 01:29:00,20.0,39.0,39.99322196800565,8.864056218564276,0.12,-0.9932219680056491,3.2857593955233084,0.737623006602206
2026-04-02 01:30:00,20.0,39.0,39.97962235382376,8.82867471505498,0.12,-0.979622353823757,3.2694323562929126,0.815976850913529
2026-04-02 01:31:00,20.0,39.0,39.96482334475034,8.795232556890877,0.12,-0.9648233447503429,3.25335196721374,0.8879405444048416
2026-04-02 01:32:00,20.0,39.0,39.948927510422024,8.763682015698095,0.12,-0.9489275104220241,3.2375365087067065,0.9537500596991322
2026-04-02 01:33:00,20.0,39.0,39.932033512840846,8.733974337637232,0.12,-0.9320335128408459,3.2220026168260256,1.0136398548706893
2026-04-02 01:34:00,20.0,39.0,39.91423613814462,8.70605990542623,0.12,-0.9142361381446165,3.206765347856949,1.0678424817737664
2026-04-02 01:35:00,20.0,39.0,39.895626334447364,8.679888392401114,0.12,-0.8956263344473641,3.191838242282826,1.1165882218351442
2026-04-02 01:36:00,20.0,39.0,39.87629125530709,8.655408908776035,0.12,-0.8762912553070876,3.177233388027708,1.160104748416586
2026-04-02 01:37:00,20.0,39.0,39.85631430839295,8.632570140270523,0.12,-0.8563143083929532,3.1629614828878254,1.1986168148480658
2026-04-02 01:38:00,20.0,39.0,39.83577520893931,8.6113204792772,0.12,-0.8357752089393102,3.14903189607217,1.2323459672185777
2026-04-02 01:39:00,20.0,39.0,39.814750037588574,8.591608148748508,0.12,-0.8147500375885741,3.1354527287790273,1.261510281044167
2026-04-02 01:40:00,20.0,39.0,39.79331130224016,8.57338131898491,0.12,-0.7933113022401628,3.122230873741691,1.2863241209046805
2026-04-02 01:41:00,20.0,39.0,39.77152800353727,8.556588217510939,0.12,-0.77152800353727,3.1093720736827364,1.306997922173565
2026-04-02 01:42:00,20.0,39.0,39.749465703637966,8.541177232228344,0.12,-0.7494657036379664,3.0968809786221034,1.3237379939582183
2026-04-02 01:43:00,20.0,39.0,39.72718659793167,8.527097008038057,0.12,-0.7271865979316701,3.084761201989909,1.3367463423777792
2026-04-02 01:44:00,20.0,39.0,39.70474958937613,8.514296537124793,0.12,-0.704749589376128,3.073015375500307,1.3462205133325256
2026-04-02 01:45:00,20.0,39.0,39.68221036514451,8.502725243099182,0.12,-0.6822103651445133,3.0616452027478984,1.3523534538968818
2026-04-02 01:46:00,20.0,39.0,39.65962147528581,8.492333059193594,0.12,-0.6596214752858103,3.0506515114931347,1.35533339152218
2026-04-02 01:47:00,20.0,39.0,39.637032413115556,8.48307050070807,0.12,-0.6370324131155556,3.0400343046078753,1.3553437302152815
2026-04-02 01:48:00,20.0,39.0,39.61448969706748,8.474888731902775,0.12,-0.6144896970674765,3.0297928096567506,1.3525629628847469
2026-04-02 01:49:00,20.0,39.0,39.592036953749535,8.46773962753324,0.12,-0.5920369537495347,3.019925527094258,1.3471645990765069
2026-04-02 01:50:00,20.0,39.0,39.56971500196116,8.461575829223559,0.12,-0.569715001961157,3.0104302770615723,1.3393171073026622
2026-04-02 01:51:00,20.0,39.0,39.54756193744069,8.456350796871991,0.12,-0.5475619374406904,3.001304244770894,1.3291838712279969
2026-04-02 01:52:00,20.0,39.0,39.52561321812486,8.452018855281578,0.12,-0.5256132181248603,2.992544024468813,1.3169231589498054
2026-04-02 01:53:00,20.0,39.0,39.503901749713854,8.448535236206892,0.12,-0.5039017497138545,2.984145661973582,1.3026881046603478
2026-04-02 01:54:00,20.0,39.0,39.482457971347465,8.445856116005908,0.12,-0.4824579713474648,2.9761046957844575,1.28662670198338
2026-04-02 01:55:00,20.0,39.0,39.46130994120927,8.443938649083638,0.12,-0.46130994120927227,2.968416196764303,1.2688818082915532
2026-04-02 01:56:00,20.0,39.0,39.44048342188691,8.442740997311654,0.12,-0.4404834218869098,2.9610748063995214,1.2495911593417475
2026-04-02 01:57:00,20.0,39.0,39.420001965327316,8.442222355604882,0.12,-0.42000196532731593,2.954074773644066,1.2288873935756328
2026-04-02 01:58:00,20.0,39.0,39.399886997236486,8.442342973833888,0.12,-0.3998869972364858,2.947409990356791,1.206898085449808
2026-04-02 01:59:00,20.0,39.0,39.380157900783225,8.443064175247986,0.12,-0.38015790078322453,2.9410740253437373,1.1837457871956758
2026-04-02 02:00:00,20.0,38.0,39.360832099476504,7.394348371580882,0.12,-1.3608320994765037,2.918393490352462,-58.84045192159675
2026-04-02 02:01:00,20.0,38.0,39.298688745482096,7.391557288301186,0.12,-1.298688745482096,2.8967486779277607,3.7286012396644708
2026-04-02 02:02:00,20.0,38.0,39.237607232386495,7.390758439777464,0.12,-1.2376072323864946,2.8761218907213193,3.664890785736077
2026-04-02 02:03:00,20.0,38.0,39.177649488038426,7.39183370972361,0.12,-1.1776494880384263,2.856494399254012,3.5974646608841
2026-04-02 02:04:00,20.0,38.0,39.11887140386126,7.394668223707711,0.12,-1.118871403861263,2.8378465425229913,3.526685050629794
2026-04-02 02:05:00,20.0,38.0,39.061323082652635,7.399150390783708,0.12,-1.0613230826526348,2.820157824478781,3.4528992725176977
2026-04-02 02:06:00,20.0,38.0,39.00504908340589,7.405171935860153,0.12,-1.0050490834058934,2.803407006422016,3.376439954804482
2026-04-02 02:07:00,20.0,38.0,38.95008866282844,7.412627923296183,0.12,-0.950088662828442,2.787572195374875,3.297625234647086
2026-04-02 02:08:00,20.0,38.0,38.896476013258145,7.421416772203573,0.12,-0.8964760132581446,2.772630928487239,3.2167589742178393
2026-04-02 02:09:00,20.0,38.0,38.844240496704586,7.4314402639219015,0.12,-0.844240496704586,2.7585602535421625,3.1341309932135175
2026-04-02 02:10:00,20.0,38.0,38.79340687476628,7.442603542121891,0.12,-0.7934068747662835,2.745336805629391,3.0500173162981525
2026-04-02 02:11:00,20.0,38.0,38.74399553419827,7.454815105979991,0.12,-0.7439955341982696,2.73293688005942,2.964680434080833
2026-04-02 02:12:00,20.0,38.0,38.696022707927256,7.4679867968546425,0.12,-0.6960227079272556,2.721336501593966,2.8783695762608374
2026-04-02 02:13:00,20.0,38.0,38.64950069133292,7.482033778882334,0.12,-0.6495006913329178,2.7105114900717506,2.7913209956602714
2026-04-02 02:14:00,20.0,38.0,38.604438053634524,7.496874513899002,0.12,-0.6044380536345244,2.700437522511175,2.7037582619036016
2026-04-02 02:15:00,20.0,38.0,38.56083984424209,7.512430731079332,0.12,-0.5608398442420892,2.691090191773807,2.6158925635461117
2026-04-02 02:16:00,20.0,38.0,38.51870779394973,7.528627391674204,0.12,-0.51870779394973,2.682445061874645,2.5279230175415535
2026-04-02 02:17:00,20.0,38.0,38.478040510867146,7.545392649213431,0.12,-0.47804051086714594,2.674477720026859,2.440036984955043
2026-04-02 02:18:00,20.0,38.0,38.43883367100213,7.562657805528342,0.12,-0.4388336710021292,2.667163825510157,2.352410391901003
2026-04-02 02:19:00,20.0,38.0,38.40108020342319,7.58035726293612,0.12,-0.4010802034231915,2.6604791554531038,2.265208054736263
2026-04-02 02:20:00,20.0,38.0,38.364770469947025,7.598428472914934,0.12,-0.36477046994702533,2.6543996476206533,2.1785840085699704
2026-04-02 02:21:00,20.0,38.0,38.32989243930986,7.616811881586608,0.12,-0.3298924393098588,2.6489014402988222,2.0926818382299928
2026-04-02 02:22:00,20.0,38.0,38.29643185579574,7.635450872310942,0.12,-0.2964318557957384,2.6439609093688934,2.007635010847224
2026-04-02 02:23:00,20.0,38.0,38.2643724023078,7.654291705683491,0.12,-0.26437240230779935,2.6395547026637636,1.9235672092763423
2026-04-02 02:24:00,20.0,38.0,38.23369585788082,7.6732834572164315,0.12,-0.23369585788081793,2.6356597716990833,1.8405926656188853
2026-04-02 02:25:00,20.0,38.0,38.204382249644866,7.692377952970141,0.12,-0.2043822496448655,2.6322534008716687,1.758816494157145
2026-04-02 02:26:00,20.0,38.0,38.176409999260805,7.896760202615006,0.12,0.0,2.6322534008716687,12.26293497869193
2026-04-02 02:27:00,20.0,38.0,38.15738339602383,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:28:00,20.0,38.0,38.138717087963954,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:29:00,20.0,38.0,38.12040425239122,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:30:00,20.0,38.0,38.1024381958128,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:31:00,20.0,38.0,38.084812351486455,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:32:00,20.0,38.0,38.067520277020336,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
2026-04-02 02:33:00,20.0,38.0,38.05055565201824,7.896760202615006,0.12,0.0,2.6322534008716687,0.0
