time,Ta_C,Tsp_base_C,Tsp_C,Ti_C,Phea_W,tariff_USD_per_kWh,error_C,integral_term,derivative_term,Kp,Ki,Kd,comfort_weight,energy_weight,response_weight
2026-04-02 06:00:00,20.21,39.0,39.0,20.21,14.25,0.12,18.79,0.0,1127.3999999999999,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:01:00,20.21,39.0,39.0,20.7967796276097,14.25,0.12,18.2032203723903,0.0,-35.20677765658185,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:02:00,20.21,39.0,39.0,21.372447767414066,14.25,0.12,17.627552232585934,0.0,-34.54008838826205,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:03:00,20.21,39.0,39.0,21.9372148308784,14.25,0.12,17.0627851691216,0.0,-33.88602380786004,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:04:00,20.21,39.0,39.0,22.491287245034446,14.25,0.12,16.508712754965554,0.0,-33.24434484936276,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:05:00,20.21,39.0,39.0,23.03486752793119,14.25,0.12,15.96513247206881,0.0,-32.61481697380468,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:06:00,20.21,39.0,39.0,23.568154362656895,14.25,0.12,15.431845637343105,0.0,-31.997210083542242,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:07:00,20.21,39.0,39.0,24.091342669959392,14.25,0.12,14.908657330040608,0.0,-31.391298438149846,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:08:00,20.21,39.0,39.0,24.604623679491237,14.25,0.12,14.395376320508763,0.0,-30.796860571910685,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:09:00,20.21,39.0,39.0,25.108184999705728,14.25,0.12,13.891815000294272,0.0,-30.21367921286945,1.0,2.5,0.0,0.34,0.33,0.33
2026-04-02 06:10:00,20.21,39.0,39.0,25.602210686429345,13.956030534969432,0.12,13.397789313570655,0.22329648855951093,-29.641541203417034,1.0,2.5,0.0,0.4,0.25,0.35
2026-04-02 06:11:00,20.21,39.0,39.0,26.074776377278184,14.022015828400669,0.12,12.925223622721816,0.43871688227154115,-28.353941450930336,1.0,2.5,0.0,0.4,0.25,0.35
2026-04-02 06:12:00,20.21,39.0,39.0,26.54111049054855,14.074802111357446,0.12,12.45888950945145,0.6463650407623986,-27.980046796222027,1.0,2.5,0.0,0.4,0.25,0.35
2026-04-02 06:13:00,20.21,39.0,39.0,27.000787527335284,14.115092260931743,0.12,11.999212472664716,0.8463519153068106,-27.580622207203973,1.0,2.5,0.0,0.4,0.25,0.35
2026-04-02 06:14:00,20.21,39.0,39.0,27.4534189888803,14.143568341516712,0.12,11.546581011119699,1.0387949321588057,-27.157887692701053,1.0,2.5,0.0,0.4,0.25,0.35
2026-04-02 06:15:00,20.21,39.0,39.0,27.898651818908107,14.16089168570107,0.12,11.101348181091893,1.2238174018436705,-26.713969801668327,1.0,2.5,0.0,0.4,0.25,0.35
